,txt,sentiment,num_of_words
769,"too hard to follow: the way the characters in this book speak makes it too dificult to follow along. i tried to follow along, but too boaring. also the book is mainly based on her thoughts. there is not a lot of human interaction with the main character.",0,48
795,"boring, very: this book may have been one of the best books of the 19th century but its language and themes don't relate to us very much any more. the scarlet letter is very boring and never seems to end. i really disliked the book.",0,45
823,received a different book: i ordered a specific isbn no. and received a different tiny book of the same with different appearence and a different isbn no.the picture seen online is not the one that i received.,0,37
831,"i read to pages of this novel and i had to stop!: i have yet to actually complete this novel. it is so dog-gone hard to understand. on top of this, i have an essay that is due: tomorrow! is there no relief?!",0,43
833,i hate this book.: this is the worst book i have ever read. the attempts at symbolism are bogged down with unnecessary detail and the language is over the top even for the time period. i hurled it across the room at one point in agitation and disgust.,0,48
862,"looooooooooooooooong.: if you can read and readily understand old-english, you *may* be able to enjoy this novel.i found it painfully long and didn't even care to finish it, which is unheard of for me!",0,34
864,"painful: this was one of the most boring books i've ever read. unfortunately i did not give up on hawthorne after reading this novel, that was a mistake. i'd pass on this one if i were you, if you must read this for school i highly suggest getting a summary online.",0,51
912,"not what we expected: the suction on this dish does not really work. the only thing i could get it to suction to was glass. we never really wanted it for the warming part, just for the suction. all in in all, we were not very satisfied with this purchase.",0,50
913,not user friendly: the dish is not easy to take apart for cleaning and i wish i could put in it the microwave.,0,23
923,...: i purchased this book and attempted to use it as a resource for a trip to cambodia in july 1999. the only current information in the entire country section was that pol pot has died. cambodia is a fascinating place to visit...too much has changed for this book to be of any use,0,54
927,"complicated: i still haven't figured out how to put this light together. when i do, the wires appear very delicate and i doubt it will even work. the directions are atrocious. but at least it doesn't require batteries, so you can feel good about not destroying the environment too much.",0,50
928,"junk: this thing is nothing but s piece of junk it came broke,didnt,work i wouldnt of rated it but i had to:[do not buy this iteam-it is nothing but a piece of junk",0,33
931,one of the worst i have ever seen: do not buy or rent this. adam sandler is officially a no talent hack. this is not for children or anyone for that matter unless lame brained scattological humor with absolutely no point is your thing.,0,44
934,"adam sandler's eight crazy nights: i thought this was a big dissapointment! it is crude beyond ""good taste."" i wish i could return the dvd but i don't have my receipt so i'll just ""trash it!""",0,36
948,ugh: the packaging was coming off the back of the package and the box it was in was distorted. i wanted to give this as a christmas present but it doesn't even look new!,0,34
988,skip it - buy the full sized version: this one makes too small and too fine a grind of pepper to be useful in cooking. you'll be cranking away on this thing for ten minutes before you get enough crushed pepper to flavor anything.,0,44
989,slow: i bought this grinder because it could be operated with one hand. however i was very disappointed in the volume of pepper it puts out per squeeze. if you are looking for a good wrist strength training exerciser this is your grinder.,0,43
1009,"itten, the elements of color: the information in this book is interesting, but the color in the color wheels and all color samples are very pale and washed off. very disappointing.if you need to use the color wheels or scales as references, this book will not be helpful.",0,48
1016,"book in great condition, but took 20 days to get it: this book was brand new when i received it. however, it did not arrive for 20 days after i ordered it.",0,32
1040,terrible dont bother: neither artist are together on this cd u get five tracks of stanley anf the rest gloria all badly re issued on cd ...please dont waste your money as i did,0,34
1041,terribly bad recording: i love gloria and thought this was an album featuring both artists together instead u get six tracks of staney then six of gloria not together at all and all very badly re issued on cd please dont waste your money as i did,0,47
1121,"very disappointed, no cover: its very strange that the comfort-u pillow did not go with a cover. this is the 3rd comfort-u support pillow i have, and for the first 2 plain white cover was always included in the box at the same price$99.5.",0,44
1134,"don't buy it!: ever since i bought this and charged my ibook with it, my ibook hasn't worked! don't buy it.",0,21
1144,"it stopped working after a few weeks: it worked well for a few weeks, but then the battery of my ibook g4 stopped being re-charged.",0,25
1198,"lemon!: just got this charger yesterday to replace my broken apple charger.all this charger does is allow me to turn on the computer (sometimes), it does not charger my powerbook g4.",0,31
1256,"does not work: i purchased this product and the dvd's don't even work. i can't even use them. i get nothing,no picture,nothing.",0,22
1265,bad band: the band was far too thin and would roll down my leg continuously. i returned all pairs i bought for a refund. very disappointing for a jobst product.,0,30
1266,wouldn't stay up: the band was far too thin and would roll down my leg continuously. i returned all pairs i bought for a refund. very disappointing for a jobst product.,0,31
1274,"as low quality as you can get: literally broke the first time i used them. i bought two, thinking that they were cheap and probably more prone to breaking. but i certainly didn't expect each of them to fail after one use. pathetic. don't waste your time and money on these incredibly low-quality items.",0,54
1279,why i think the book is going to be great: i think this book is really good for people who continuously tried to be one of the people out on the court.this is the perfect book to start with.,0,39
1282,"heat therapy: i used this product a couple of times and was not really impressed. to get good results i guess you would have to use it in a specific area for a good length of time, otherwise not much good.",0,41
1328,don't waste your mony: don't waste your money on these. they don't grind well at all. i just bought celtic sea salts and got rid of my table salt and was very disappointed as these just don't grind the salt or pepper. i have to go buy another set and hope they work.,0,53
1356,g.a.r.b.a.g.e...believe dat!: this is one of the worst cd's i've ever heard. this chick is garbage and so's this cd. don't waste your money on this one. chopper girl...haha....more like wack as hell girl. i didn't even wanna give you one star but i had to.,0,46
1365,broken: i was not even able to use this item because it tore upon putting it together. do not buy this item!,0,22
1375,not like i remember it: i bought this book 'cause i loved the movie when i was a kid. the book is really dry and a little hard to relate to. it's very english with lots of moor descriptions.couldn't finish it. want it?,0,43
1377,not what i was anticipating: thought it was a picture book of the fiords.... that's what happens sometimes when you cannot actually touch a book...,0,25
1395,not his best effort: max must have had a dictionary by his side while writing this bunch of hog wash. i read to be drawn into a story and it did not happen.,0,33
1397,did not like at all.: i just did not like the story line.ii was not able to get into the story. didn't even finish the book.,0,26
1426,"only for the ""waltons"": i love ya dolly, but this music is the whack, or it is to this city boy! this is a cd only the waltons could love!",0,30
1460,castle in the attic: this book was dull non for feeling non inspiring boring made no sense. i would not recomended this book to a friend it is terrible. i rather read something else rather than this book,0,38
1482,too thin to hold weight: this product is good for child i guess..cause it is a little thin...but it is better than the one i saw on sports authority which is thiner,0,32
1490,"i've have more fun taking a dump than playing this crap: what a piece of garbage....just thinking of it is making my bowels move...again....oh god, i gotta go back on the bowl!!!! ahhhhhhhhhh!!!!!!!!!!!!!!",0,33
1496,do not buy this game: inspite of the two patches offered by eidos the game crashed very often. lara's movements are hard to control and choppy in stairwells. you will be nothing but disappointed if you spend your hard earned money on this game.,0,44
1520,"failed after 2nd application: i never got this to work, it shorted out and is made out of cheap plastic. didn't come with all the attachments would not recommend this product",0,31
1547,"received melted: i am sure this is delicious as it had been recommended to me.however, it was completely melted when i received it, thepackage did not state perishable and the postage was expensive.i would not buy from this particular site again.",0,41
1554,waste of money: this looked like it would be lots of fun but it's very hard and uncomfortable and doesnt vibrate very well at all. dont waste your money,0,29
1559,"a desecration: hideous. the only reason i gave it 1 star is because 0 stars isn't an option. the very idea of remixing ""strange fruit"" is tastless and disturbing.",0,29
1565,not worth the money.: when this product arrived parts were missing. when we tried to assemble it the welded joints fell apart. i wouldn't waste the money. buy another type bag holder.,0,32
1569,it is ok but not great.: the directions to put this together were unclear and failed to note that you need to use really oversized bags. after a few uses the sides have already broken. the clips are really hard to put on and off the the rack.,0,48
1575,don't waste your money: the worst item i have ever purchased it is so flimsy you can only fill it to half full putting it together nut and screws stripped out and had to go to ace hardware to buy new bolts and nuts save your money,0,47
1588,"simply borred: borred, borred and very borred!! to much bla bla! i spected that this book would say something about ancient phylosopy, something to think about, but never get it, it is very borred.",0,34
1602,"shipping problem: ordered this as a wedding gift. it was shipped twice and it was broken both times. amazon would not give the ""recipients"" credit for something else, had to go though me. realy spoiled the gifting experience.",0,38
1621,"difficult to follow: i'm a student and am taking a class using this book. i've found it very difficult to follow and short on explanations. without additional resources, i would not be able to learn the material in this book.",0,40
1641,"the characters seem unrealsitic and have a very bad attitude: i don't understand how clarence day, a good author, wrote this wretched book. a father should not be that vulgar, and shouldn't treat his wife with that much disrespect. people may find homor in it, but i did not enjoy this",0,51
1650,"a waste of money and time: i got nothing out of this book. i've read many self-help books, and this is among the worst. mcwilliams provided worn-out cliches, and the book reads slowly. if you want good selp-help books, check out denis waitley and anthony robbins.",0,46
1651,"total disappointment: i was totally disappointed with the book for two reasons. one, it had a different author than the one i ordered. two, it was tremendously boring. a waste of the little money i did spend to get it.",0,40
1654,"sad: what happened to the amazing charlie mars from like a bird, like a plane?? that was an incredible haunting deep pleasing album. this is not :(",0,27
1692,works: it was a bit confusing to assemble. had to redo a few times before i got the right rods with the right utensils. in the end you get what you paid for - bottom of the line product for cheap.,0,41
1696,broken: when the tool set arrived it was okay..smaller than i thought but mostly one of the tools was broken so it made the set not acceptable.,0,27
1698,disappointed: i was disappointed in the cd because i am a fan of the trio and this one had too much input from other musicians. i guess i was looking for unadulterated steve newcomb (sp). my error.,0,37
1704,"spring break - a lot of fun without the sunburn!: my favorite game was roller coaster tycoon, until this one came along. i downloaded the demo and bought the full game on the same day. spring break is great fun.",0,40
1722,too boring to finish: i got this as a free selection. it was so incredibly boring and i could not finish it. don't waste any amount of money on it.,0,30
1723,"don't bother: this was a free kindle purchase. i guess you get what you pay for with the kindle.this was absolute drivel! this writer neither knows southerners nor humour. the story was so unbelievable, it was laughable. could not finish this pile of ...",0,44
1743,"hmmm.: well, i guess if you've never heard this kind of stuff before then it's fine, but it certainly is not the future of music. listen to papalotl instead.",0,29
1757,soothing: creates a big mess. it's also pretty small so it gets very boring after a while. i've had it for like 6 months and used it twice. and that was the first week i got it.,0,37
1758,"very disappointed: i was very disappointed when product arrived. the bottom of box is very flimsy, it will not hold sand. this was purchased as a gift for my daughter. there is no way i am giving her this.",0,39
1762,"poor quality: disappointed in this item. the tray bottom was not attached well to the sides - doesn't hold the sand. also, the rocks are dull and all one color. rakes seem to be ok.",0,35
1770,you get what you pay for i guess.: this radiator seems to be very cheaply built. its aluminum and plastic! it did not even come with a radiator cap. how cheap can you get?,0,34
1771,"not working correctly: i purchased this a month ago and found out this was not working correctly.i had it pugged in and it went on by itself, then another time i could not control it with the remote....not happy in lynn, mass",0,42
1772,do not buy: i do not recommend this item to anyone. i had it for two weeks and it quit working. i tried it again and when it rains it quits again. would not buy again.,0,36
1784,"flimsy materials, potentially dangerous item: even though this is rated to hold up to 2000 lbs. i would not trust it to last very long. the nylon and ropes that this comes with are clearly very low quality. some of the ropes even showed signs of fraying straight out of box. cannot recommend this item.",0,55
1802,"ripped off: was very upset that this dvd did not specify that you could not play it in the united states. why was it on amazon, usa. false will not deal with this vendor ever again and will make sure my friends and colleagues are aware of it..",0,48
1820,not what i expected: being a wolverine fan ; this is nothing like i expected. really don't like the drawing or storyline. looks fake.,0,24
1842,"my bad, but theirs too: it did not even occur to me that a plug-in co detector would not have battery back-up, which is my fault for missing that. however, what the?? i mean, they all should have batter back-up. this one has to go back.",0,46
1864,"journal making?: i bought this book wanting to learn how to make a journal. this book did not show the basics. it was a waste of money, the author seemed more interested in presenting cute ideas and making pretty pictures than teaching basics.",0,43
1868,"not my type of book: i just couldn't get into this book. right from the start, it seemed like the author was trying to hide something from the reader and that annoyed me. also, it contained too many long descriptions. not my type of book.",0,45
1884,disappointed: don't waste your money the pump to pressurize the rocket broke after first and only use. very disappointed bought this for my brothers children because he used to have one as a kid and he loved it so i bought this one and it broke on the first try.,0,50
1888,old school rocket: launcher broke after a couple of flights. not surprising for the cost. these were popular when i was a kid and this model was enjoyable while it lasted.,0,31
1893,not what i thought it should be: i missed a lot of the subcaptions but i think i may have understood the meaning of the file. may like it more in english.,0,32
1905,"come on.............: we know back in black was one of the best albums in history...do we really need some ""experts"" to tell us this ??i'm a big ac/dc fan i would not buy this....",0,34
1945,printing is way too small!: book is over 600 pages and the print is so small it was difficult for me to try to read so i returned it. perhaps if it ever comes out on kindle i would try again.,0,41
1957,"not very good: i don't remember this movie, so i know it was bad. i probably did not watch the whole thing. bad production, bad acting",0,26
1967,"not too durable.: this was great as a halloween costume. however, after my daughter tried it on, one of the straps on the leg covers broke and the mask was too tight. good for a one time use. my daughter enjoyed it.",0,42
1974,"expect what you pay for: the price was cheap and so was a majority of the craftsmanship. also, the belt was not in the package and we bought it new.",0,30
1976,"wouldn't recommend: the sizing of this costume was fairly accurate but it very cheaply made. after only a few wears, the mask and belt both broke. i wouldn't recommend this costume.",0,31
1981,no belt!!!: my costume was a small and didn't fit my 5 year old wayyyy to tight and it dd t come with the belt!!!,0,25
1991,"item was nice color: this rod was too flimsy in my stall shower to stay up more than 10 minutes with a curtain. we put it up at least four times and it fell down. i returned it. color was nice, it was extremely thin.",0,45
1995,"too small for a shower curtain: this rod is way to small for use with a shower curtain. i have no idea why it even comes up in the search. it may work for a simple curtain, but i doubt it.",0,41
2024,"don't buy this gun!!!!!: i hate this gun. it barely shoots fifteen feet at about 50 feet per second. it looks and shoots cool, but it really sucks. i don't recomend it at all",0,34
2042,lame: recipes are a bit strange and not easy to follow. i wouldn't recomment this book at this time for anyone serious about cooking.,0,24
2047,"nice basic mug: i like the size and style of these mugs, they go with anything and look like they'll last a long time.--- edited review --- long term? not very durable. all but one have broken.",0,37
2060,"much ado about latin ballroom tango: this version of tango is not argentine. it is ballroom latin american whatever you call it. very misleading to call it argentine tango. but if you like ballroom dancing, maybe this video is for you.",0,41
2061,"how not to become a good argentine tango dancer: this video is fine for ballroom dancers, but it has nothing to do with the authentic argentine tango. even ballroom dancing has now a separate category for argentine tango. unfortunately, this video is not that. that's why, i rate it at 1.",0,51
2062,"overpriced: the price is too high for a vhs tape. also, the title is misleadig, as latin dancing has nothing in common with argentine tango. if you are not interested in authentic tango argentino, and don't mind paying the high price for ballroom instruction on tape, then this video is for you.",0,52
2075,"not as good as most: i love little critter books, but this one isn't as good as most. it is cute, and my kids like it fine, but others are better. i think my favorite are the ones titled ""just me and....""",0,42
2101,"want refund!: the movies do not play in my xbox 360 console, which is my only source of a dvd player. i would appreciate a full refund considering i had to wait over 3 weeks just to get the dvds that don't work.",0,43
2118,have not recieved it: i can't rate this item because i have not received it. i have had this problem when i tried to order the toy story pack of one and two.,0,33
2138,upgrade computer: if you have a new computer or maybe newer that 2003 this cable will work if you are working with one older than that like me it doesn't work. so now i have this wonderful cable and waiting to get an upgraded computer to match.,0,47
2162,"bratz helmet: when i ordered this product, i didn't see a size chart and i was sent a size that is not suitable for the purpose intended.",0,27
2252,"poor quality incorrect: the item that is stated does not look like the stock graphics , the picture that is show is not what the item looks like . dont count on a good quality product",0,36
2254,"cheap: this flatware set is very pretty, but made very cheap. after several months of use, the ends became loose and several of them actually fell out. a complete and total waste of money.",0,34
2263,"zzzzzzzzzz.....snooze-fest: great, another socially aware electro-dance record. i can't wait for the an iraqi to come out with one about the current us led invasion.",0,25
2281,m.i.a.- no way!: if this cd were to be captured- it would not be an m.i.a. that you would go looking for. save your money and buy a 99 cent toy flute at walmart to make better music.,0,38
2302,2/5: this album is 2 stars because some of the songs are listenable. i hardly enjoy listening to this album.i hardly recommend this album. addy.,0,25
2356,"i couldn't get into it: i just coulafter getting more than 50% through the book, i had to stop ... i just couldn't get into it and didn't like the writting style.",0,32
2364,the autobiography of my mother: did not really get lost in there book....found it boring....and i really wanted to stop reading it! but chose to painstakingly finish it..,0,28
2365,the autobiography of my mother: it's not a book i'll ever read again. it was very boring. glad i didn't pay that much. i give it a star.,0,28
2391,where my copy: cant rate something that i have yet to get a copy of. i feel like i calomst could have done better by going to the store and buying it. i have yet to get my first copy of the magazine,0,43
2392,"too many ads, not enough interesting material: i was hoping to gain some entertainment while reading things that will keep my interest but like most magazines, this was full of ads and the articles either seemed generic or just didnt keep my attention.",0,43
2413,a good story but not great: i love dean koontz. this was not my favorite. in fact i was rather unhappy with the whole book. now don't get me wrong he is a great writer but this book bored me. i don't read to get bored.,0,46
2435,"shipped wrong color: i ordered three rods (all black) of various sizes and received free shipping. when the order was received, one of the rods was in pewter. they agreed to send a return shipping label for the incorrect item, but i would have to pay shipping on one rod.",0,50
2441,not for me.: thought it was poorly written. the story was long & boring. thought i would try her to find new writers. will not buy again.,0,27
2446,the music is old and tired at this point.: the music has been out. what is the purpose of it? forget it,0,22
2454,"a dreadful waste of cash: if this is the ""best of the box"" then thank god i didn't buy the box. most of this stuff should never have left cobain's closet.",0,31
2463,"horrible quality: even though the song list looks impressive, don't waste your money on this one. this is the poorest quality sound i've ever heard on a cd.being a nirvana fan, i have other albums that sound great, but i can't recommend this one.again don't waste your money.",0,48
2478,don't buy: this is the worst recording of nirvana i have ever heard! the entire thing sounds horrible. don'buy it!!,0,20
2480,"very easy to solve!: this puzzle is very easy to solve, i would not recommend it for anyone. buy the ""original"" ""don't break the bottle"", it will keep you entertained much longer.",0,32
2491,"too broad and too liitle info: not knowing wind river the guide really did very little to help plan a trip excpet for forming a general idea of where to go and what to see and climb. on this level it fulfilled it's job, but i was hoping for much more.",0,51
2501,"it is deseptive ,: it is not what i thought it wasit dose fit the camra but i thought that it had a usb end also , so that i could hook to my computer",0,35
2522,not recommended: i have to agree with most of the reviews here. this saw is a peice of junk. i returned it almost immediatey. what a waste of time! i should have read the reviews here first!,0,37
2565,"wrong title, right author: i selected the complete short stories of malamud and this book is only a selction of short stories. i was disappointed but we decided to keep it and be more careful in ordering.",0,37
2566,"boring!: i would suggest before sitting down to read this book that you brew a large pot of coffee. or better yet, don't sit down to read it at all. this is dry stuff!",0,34
2572,alot of decent pictures and instructions: as a student of jiujitsu i understood alot of the moves but i found that without previous knowledge these pictures and instructions were difficult to understand. i feel there is alot of good information but not worth buying.,0,44
2573,buy a different jujitsu book: i bought it before i knew anything. now that i have been training a bit more and reading more i realized that this book is lacking a whole lot. i do not really recomend this book unless you can get it for free.,0,48
2593,"weak out-dated plans: i got this book expecting a bunch of puzzles from the cover and title. there are many other items to be found, but everything looks very out-dated. definitely keep looking if you want puzzles or other up-to-date patterns.wayne",0,41
2610,"the worst book in the history of literature.: the time spent on reading this book could have been spent on someting worth while and interesting such as watching the grass grow, or picking my teeth. it was a real disappointment and the reading of this book by anyone with a life should by outlawed.",0,54
2622,not a brilliant book but...: i didn't like this book very much. it was silly. i'm sorry that i've wasted time reading this book. there are better books to read.,0,30
2628,this book has a dire need to be shortened: this book in the beginning was so slow that i finished a book twice it's length before i finished the first chapter of tess of the d'urdubervilles.,0,36
2641,buyer beware: this was a very used paperback of tess sold as new with library stickers on the binding as well as the front cover. amazon is definitely not trustworthy anymore.,0,31
2642,the worst book i have read: i don't know how can this book be a classic. i haven't thought that i could find such absurd stuff in a book. don't waste your time with it.,0,35
2643,"boring: i thought this book was long, drawn out, and boring. it was too descriptive. to me, the writing style is a lot like jane eyre. i don't particularly like that type of book.plus, it was way too sad and unrealistic. i don't think that many bad things could happen to one person.",0,53
2644,"boring!: we had to read it for our gcse coursework. everybody found it boring and too descriptive. if you have a choice, do not choose this book! to make it worse, it is incredibly long and depressing. do not even touch it!!!",0,42
2667,"eayk!: silly, stupid, boring. i had to read it for a project and i was about to faint. thank god that it was short:) do you still wanna read it? then good luck! i hate to say this but belive me you will be sorry for it!",0,47
2670,"sexist and unsatisfying: see subject line. i would never recommend this book, depth and nuance aside. it was at no point pleasant to read. i struggled to finish it.",0,29
2671,waste of time.: i don't care if it's a classic. it went nowhere. there was no point. i could not bring myself to care what happened to the characters. it was not an enjoyable read.,0,35
2709,upsetting: i may not a good reviewer because i stopped reading at page 50 but i believe this is not at all a good book to read if you want to learn about japanese culture. as a japanese born and raised in japan i find this book extremely humiliating.,0,49
2720,"the ubearable pain to watch: this movie is the lamest peice of pseudo-intellectual crap i have ever seen. it is painfully self-serious and a major bore. this is porn for those who would never confess that they watch porn. if you want to see a good movie about human relations, go get ""besieged"" by bertolucci.",0,55
2762,old music: music from the 30's and very nostalgic. my father played with this band when he was still in college in 1934.,0,23
2800,not as it would seem: not as advertised. these copies are remaindered and are marked on the bottom as such with a felt-tip line. i had purchased this as a gift but was unable to give it due to the remaindered marking. the online information about these books fail to mention their remaindered status.,0,54
2811,"conceited book: had to offset the praise handed down by so many people for karourac's writings. very overrated as a writer. this book is filled with the resemblance of substance, but has nothing in it. it is a contradiction of itself.",0,41
2819,"dont waste your time: uninteresting and boring, the story accomplishes nothing from start to finish. save your time and money and dont bother with this book.",0,26
2822,"great book, but not this kindle edition: there's no question on the importance of hodge's book. but this $3 kindle edition is simply scanned with ocr and is almost worthless. it would have been far easier to read it in simple image form.",0,43
2833,"dark moon: not what i expected, the first transformers was the best. the special effects was great but acting was not, too bad.",0,23
2848,sucks: i just got one word this movie blows one of the worst movies i have seen in a long time the first part of the movie put my wife to sleep. any body who reads this it is not even take the time our the money to by this movie,0,51
2866,digital copy is expired: digital copy expired 2 months ago so unable to put it on ipad. would not have bought if i knew the digital copy wasnt included,0,29
2877,enough already: two of these movies was plenty. the hot girl was so ridiculously hot as to be unbelievable and not in a good way.,0,25
2884,transformers: i have not received it yet am very disappointed as i was told i would get it by the official release date am still waiting,0,26
2897,avoid.. falsely advertised: very disappointed with this purchase. i bought this based on product details on amazon which listed special features and extras - a major reason for my choice. there is only the movie on bluray and dvd. please correct item details amazon.,0,44
2907,lousy: this movie became so boring i stopped watching it after an hour and a half. i liked the first one much better.,0,23
2910,weak: i enjoyed the 1st transformers movie for what it was. found the 2nd to be unwatchable. this one is better than the second one but what is that saying.,0,30
2915,"transformers: dark of the moon: this is a disappointing film. the first two films managed to include a story with the special effects. this one didn't really bother. mind numbing, and in a bad way.",0,35
2921,a time waster: this is one of the worst movies i've ever seen. poor shia has to have a high paid model to make his acting look better.,0,28
