txt,sentiment,num_of_words
"this is not how a great intellectual mind should be remembered: robert fomon was my grandfather, i dont understand this mans bias against a man he didnt know. my grandfather died when i was in 3rd grade, and this is not how i hoped he would be remembered. despite the mishappenings dealing with ef hutton, i would appreciate all those to refrain from posting rude messages on the morals of my grandfather, for the same reason i would not critisize a family member of yours who i knew nothing about.",0,90
"scientific?: paula begoun has built up an amazing business and marketing machine based on very little actual scientific fact and mostly biased opinion. if you've ever seen this woman give an interview ... well, let's just say her poor complexion and 80's makeup job speaks for itself. this is like the portly dr. phil writing a diet book and everyone flocking to read it.you've got to give the woman credit though. she's taken her opinion, common sense and sketchy science background and turned it into a very lucrative business.",0,89
don't waste your time: i'm only 1/3 through but this is one of the most boring books i've ever read. i'm forcing myself to read it only because of the money i spent to buy it.,0,36
"headsets fall apart: the sound was awesome - no question about it - but the headphones fell apart after 8 months. the cheap plastic used to connect the ear pieces to the head piece cracked and eventually broke, and now a sharp piece of metal sticks into my head if i ever wear them. i needed to tape them with hockey tape to hold them together.....i expect better for $300![look in the product images for pictures of where they broke]",0,80
"take a nap: the first 10 minutes of this movie were rather amusing and after that it settled down to a real napper. endless long face shots of schimmer in particular looking concerned,pathetic,etc.,etc.made the film a test of one's staying power. occasional humor and the interest generated by paltrow and hersey helped,but the movie was unsavable.a 25 year old with his weird mother and bunk beds,paltrow's pathetic outfits and hersey,s atrocious hair and truly strange behavior are just a few of the blots on this would-be landscape. michael rappaport and that bitsy character trying to go over the top was also borderline offensive.as i review the film in my mind, two stars might have been too high! skip this one and enjoy an extra episode of friends.",0,127
don't buy: this item came in a sealed bag but when opened it was greasy like it had already been used and it was dented. don't waste your time and money on this inferior product.,0,35
"best of it kind !: best of it kind in the weard fealds of propaganda warfear . i think it is "" out of stock "" for the next few years .pure , pure "" freadom fighters "" whom we trained and supported ... watching the blue sky ... waiting for freadom ...today : same "" freadom fighters "" whom we trained and supported... watching the amty blue sky on the place , were wtc use to stay , including the souls of thouthands of innocent people .the best example of government using holliwood in brainwashing sistem .",0,98
"even worst than default antenna !!: the signal goes down, i buy this to increase my reception, but even at outside, the signal is worst than with normal antenna. don't buy !!la señal se cae, compre esto para incrementar mi recepcion, pero aun estando afuera, la señal es peor que con la antenna normal, no lo compres !!",0,58
"save yourself from undoubted fits of nacrolepsy.: it seems like palahniuk is stuck in a lyrical rut that comes out more and more recycled with each novel, and although this was fine through the first five novels (with the exception of invisible monsters-which is probably slightly worse than diary) it really bottoms out here.insert comically dark one-liner here.reinterate said one-liner every fourth paragraph.if anything, stick with survivor, choke, or fight club.",0,71
"what?: i wanted a specific compostion by pergolesi, and i received this.it is not as indicated on the cover. i wish i had never ordered this.",0,26
"poor reception, poor battery life: even when y ou dont use the unit, the battery drains itself rapidly. reception is poor overall. i even tried the antenna headphones. i gave up, cancelled my subscription. if anyone interested send an email, will sell for half the going price.",0,47
"garbage,trash,tabloid junk: this is trash, this is not worth the 500.00. you want to trash 500.00, send it to me, i have bills to pay",0,25
"not indicative of actual grade!: practice test one:score: verbal: 506 quantitative: 420practice test two:score: verbal: 600 quantitative: 480practice test three (3 hours before taking gre):score: verbal: 520 quantitative: 500(this had me an emotional wreck the day of the gre)my actual first time gre scores:verbal: 720 quantitative: 620my only belief is that this book and program is designed to convince you to buy the courses. that being said, the 30 minute math tests did make me feel like i had all day to do the quant on the gre.i'm not sure this helped me very much. i think i would've been better off just with a math review book.and it is full of typos at critical points. for example, in one qc test problem it says ""circle 1 intersects circle 2 and exactly two points"" and the problem requires it to be intersected at exactly one point to be solved.",0,149
"not star wars: this game represents the beginning of the end of the star wars franchise. it's not made by lucasarts and doesn't really have much to do with star wars at all.the game was not ready when i was beta testing it one month ago and i highly doubt that any of the critical bugs are fixed yet. this is a ""serious"" game which requires alot of repetitive work and a huge time investment.unless you are a student with nothing better to do all summer, don't buy this game. you need to invest at least 4 hours a day to be successful in the game.on the positive side, the combat system is alot of fun. going on a hunting expedition with a bunch of other players is cool. but the tedious portions of the game far outweigh the fun factor of combat.",0,143
"anticlimactic: this novel started off just fine. i was quite interested in the story and quite anxious to follow it along.the characters were interesting; the plot was quite entertaining and suspenseful. in his usual style, dean koontz kept me wondering about what was going to happen.however, the ending was so disappointing. i felt robbed of my time and energy. maybe i have been spoiled by reading his more recent works first, but the ending left me staring at the page.definitely not one of koontz's better novels. he does have many more satisfying works.",0,93
"poor cole: while the others in the cole series are excellent reads, this one isn't even so-so. run of the mill, boring political statement. hard to believe it was written by the same man.",0,34
"almost worst jerky i've ever had!: this stuff is terrible! it's not hot & spicy in any way, unless you can count the coating of chili powder all over it & the bag. the jerky itself has no flavor at all. i repeatedly tried it over and over, hoping it was just a bad piece/batch/bag, but it was all the same - terrible, terrible flavor. if you think this will be anything like jack link's peppered jerky, or any peppered/hot jerky for that matter, you're going to be very disappointed.",0,90
"zane wannabee: the book starts off strong and finishes weak. it reminded me a lot of addicted by zane, but this author lacks the descriptions and feeling that should have been in the book. the book also is not very believable in certain parts and is going way too fast.",0,50
"what a letdown. . . !: i started this book with fervor and hunger and ended with a ""toss out the window"" of the book and a vow to find a new author to follow. in his haste to complete this book john grisham forgot that readers are not dummies and that we expect the author to be true to his characters and his audience. after reading this book, i've taken a long pause from grisham. . .",0,78
"even twilight has more bite than this: vampire boys has plenty of boys, but you would never guess that they are vampires. this movie is pretty dull stuff. even twilight was better. and the actor who played caleb was horrible. a lot of the dialogue was stilted, and there is very little action. i think the movie would have been more successful had it been called ""pretty boys"" instead. that's the point of this movie anyway. the point surely wasn't to entertain or to scare people. the only reason i'm giving this two stars instead of one is because there isn't an ugly person in the cast. that counts for something, right?",0,112
"nextar mp3 player: i am not pleased with this product. the manual says it is supposed to load mp3, wmp, etc. formats - but it doesn't!it only does mp3. i called the 800 number tech support line and was told by a recording that they were busy and someone would return my call within 48 hours - never happened!i do not recommend this product!",0,64
"could've been better.: like the songs from linkin park and goo goo dolls. thought the other songs could've been better - a lot better. especially the transformes theme song. i do not like this version at all. the version by lion on the original animated movie is much better.also much better, and a more recent version, is a version of the song done by black lab. this should've been on the album and would've been good for the closing credits of the movie as well. [...] and you can hear their version (and see some youtube videos of the song).i, too, hope an orchestral soundtrack of the movie comes out.",0,110
"sorely disappointed: i love fiction and nonfiction books about queen elizabeth, mary queen of scots, and their century. but this was a real disappointment. it didn't offer any new understanding of the time period or of elizabeth or anne's characters. the love scenes were awkward and embarrasing. they seemed gratuitous and out of place. thank goodness there are other good books about this period out there. check out alison weir, reay tannahill or patricia finney for good books set in 16th century england.",0,83
"blah, blah, blah: spoiler alert - if you saw ""full impact"" you know how this one ends, unfortunately the acting and special affects are not as good. not even close.",0,30
"sorry, not much here for me: i bought it for some insight on troubleshooting my ps2, disk read problems. not much there, unfortunately. that in it's own self wouldn't be a killer, but the fact that the book is 2/3 ""guide to games"" cinches the deal. it's from 2001, so there are no games since then included in the guide. if you just bought a ps2 (like i did) and you find this for a buck at a flea market, it might be worth it.",0,85
"type is not clear: this is a very frustrating work for a beginner to try to use. it is very difficult to distinguish between a lower case ""c"" and an ""e"" as well as an ""l"" and an ""i"".",0,39
"sub-titles: unless you like to read during a movie, don't but this one. it is almost like a foreign film there are so many sub-titles to read - so much is in a foreign language instead of just english. i spent so much time reading what they were saying that i didn't get to watch much of the visual.",0,59
"only 1/2 a cord?: does this include the portion that connects to the fryer itself? that is the part i need, i have the portion that goes into the wall and the picture only shows the portion i have. anybody know?",0,41
"gabriel's angel: i love nora roberts, but $6.99 is too much $ for only 288 pages, if i'm going to spend that much i want to read for more than 2 days, sorry!",0,33
"utter crap: ok, so i went and bought an action replay max, i go home all happy knowing i will be able to watch movies from any region and what happens? it doesnt work on a scph model 5001 ps2. hello, can you people wake up and recall all your crap or have the stores label them with a sticker that says not compatible with scph 5001 model!!!!!!!!!!!!!!!!!!!!! hello????????",0,69
faialure in product: screen quickly became fogged. weight would keep changing meaning you guess at what this fish weighed. last fish on the scale was a drum and the chain pulled out of the bottom of the scale. not for me.,0,41
"why buy when you can read for free?: google the table of contents, and you'll find virtually every story in this dreadful amalgamation of sequential non-sequitors somewhere online. then again, don't and save yourself the eyestrain and nausea. spare yourself the horror of first lines that not even the bulwer-lytton contest judges could stomach. avoid the incomprehensible syntax, the superfluous verbiage, the repetitive and redundent tautologies that constitute the endless and pointless drivel that is this book. if someone gives it to you as a present, sever all contact with that person, regardless of the closeness of your former relationship, for your presenter obviously wishes you ill.",0,107
"magazine full of ads: maxim used to be one of the greatest magazine ever. now its just full of ads. hardly worth the price, even at 5 dollars a year. every other page is an advestisment. very disappointed.",0,38
"a few select ann coulter quotes: here are some of my favorite ann coulter quotes that only proves the point that she knows nothing about politics and is a hack job just to make conservatives feel better about their views.""liberals hate america""""liberals hate all religion except islam""""democrats actually hate working class people""""liberals hate society""""even islamic terrorists don't hate america like liberals do""democrats will destroy anyone who stands in their way. all that matters to them is power""""liberals can't just come out and say they want to take more of our money, kill babies, and discriminate on the basis of race""""liberals seek to destroy sexual differentiation in order to destroy morality""""that's the whole point of being a liberal: to feel superior to people with less money""""liberals are crazy""don't expect any of these quotes to make any sense at all. they were all written by ann coulter.",0,145
"good luck trying to have your ryobi product serviced: i purchased the ryobi lawn eddger for my ryobi trimmer. on my second use, the lawn edger became stuck to the trimmer body.i tried 4 different local ""authorized ryobi"" service centers. none will accept a ryobi trimmer in for ""warranty repair"". for the past 2 weeks, the only message i have been able to get on the ""ryobi 1-800 number"" has been ""due to heavy call volume... we request that you call back later"". even the ryobi web page is most of the time out of service or extremely slow.i would never consider buying any ryobi (or products from the same family).",0,111
".: while i thought this was something of a filler novel, it was still fun for those who appreciate a space twist.",0,22
"overrated: i love other nicolas sparks movies like the notebook, dear john, but for some reason this one didn't do it for me. wanted to see it in the theater even, but glad i waited for home rental.",0,38
no better than $1 earbuds: i didn't expect sound perfection but thought i would get a set of earbuds that we're durable - wrong! sound is okay but the sound connection keeps going in and out. i will not buy another pair of these crappy buds.,0,46
"i saw the wrong movie: i thought this film was going to be herbie the love bug. to my suprise i was watching a zombie flick, so i'll go ahead and review. i had just picked up morty from the nursing home and wheeled him in to see herbie. you see we fist made out to the original herbie movie and thought we could recapture some of that zing. we must have gone into the wrong theater but it was too late to wheel morty out once the film started so we wouldn't bother everyone...i shouldn't have taken morty to see it, at one part he screamed so hard his falsies flew out and smacked a young man's head in the seat in front of him. morty also dropped his sippy cup he got so scared.",0,136
"still waiting for a response: it's very difficult to push the strings in order to play a song, you have to push it very hard !!!i sent an email to the company 3 weeks ago and i am still waiting for a response....bottom line, i really don't like the guitar...",0,50
fps action: this is based on the james bond movie. i tried out the game and it seems to demand a lot of button-mashing. it looks like the graphics are good.,0,31
"over-produced bollywood: this movie was well produced and has a beautiful, semi-fantastical setting (almost more like a village in france than india). the acting and cinematography were both very interesting, with some beautiful shots. however, it lacked the light-hearted comedy and story that attracts independent american viewers. my wife and i love seeing indian movies about the conflicts between traditional indian society and modernity. in these movies, the family is both part of the plot and oftentimes comic relief. however, i didn't laugh once during this film. it's a serious love story, but mixed with the dancing and fairy tale setting, it's hard to take seriously.a related problem is that this movie simply had too much singing and dancing. i know bollywood movies tend to have a lot of singing and dancing, but at times this movie seemed to have more music video scenes than plot. i ended up fast-forwarding these sequences.",0,152
"surrender cinema's getting too tame: although the production values are up to surrender's usual glossy standards, the sex scenes are so stylized (and so unrealistic) that they are totally uninvolving. also, they're simply not as hot as in earlier surrender films like ""femalien"" and ""virtual encounters"", especially the girl-girl scene. in this film, it's more of an exotic dance than anything else.a final note -- the star, shauna o'brien, has unfortunately gone the implant route. her natural body was a knockout (see the original ""friend of the family""), but now she looks preposterous. too bad!",0,95
"good movie for taking a nap: saying that this movie is slow would be an understatement. molasses moves faster. i'm usually a bit leary of films written and directed by the same person and in this case i was right to be. somehow i managed to watch the first 40 minutes without completely falling asleep. after that i started fast forwarding. as one reviewer said, it's an interesting concept done with very poor execution.",0,74
"dreadful: i am a fan of dba & 65dba, in their incarnations after this album. this album has nothing to do with their later electronic dance pop sounds. the only song on this album that resembles that sound is track #2, ""we must go."" this album is blatantly evangelistic in lyrics, and the music is very churchy ensemble music -- even in the realm of ccm, this is bad. avoid this album. if you're looking for dba's electronic dance pop sounds, the 1996 album ""bubble"" is a good choice, and is an album i still enjoy listening to. much later i bought 1994's ""shout"" -- not as good as ""bubble"" but good enough for me as a dba fan.",0,119
"don't bother!!!!: first let me say i know this album well, and it is essential for any fan of ron dante, or the archies. the problem here is that the mastering is so godawful poor! it seems to be mastered from a record-and judging from the nauseating sound of all the side two tracks (6-10), the record used was pressed off-center!!! artwork bears no resemblance to original, and mine came with a booklet but no tray card! add to that the fact that 2 tracks are missing from the original release, and this makes the disc useless. most dante fans already have a copy of the vinyl, and that is a superior copy to own at this point. wait for ron to reissue this himself-he'll do better...",0,127
madonna's voice is simply too weak...: ...for musical singing. it gets on your nevers after some time and you simply have heard better versions of these songs by better singers often before,0,32
"trash.: if you want a usb notebook cooler that's going to last a few weeks with minimal use, go right ahead. the plastic feet came off, the power light is a blue/purple strobe that could compete with local law enforcement, and the dual cords (power/usb) is cumbersome.",0,47
"an okay gift...: i just received this hat in the mail. it's made of sturdy material and was stitched well, but the lines on the hat aren't where they should be. kind of defeats its purpose...",0,36
directors cut horrible: i have always been a major fan of this movie. i got the first dvd a couple of years ago but it was a bit of a hassle to get up in the middle and turn it over. i was excited by the new two disc version in which the entire movie was now on one side. great i thought. then the extra scenes popped in which totally were unnecessary and detracting from the plot. gratuitous nudity and thin scenes that should have been left on the film edit floor. i cant understand what they substatially did for this great movie other than significantly dilute it. i guess i'll go back to my first dvd and just take a popcorn break when i have to get up and chnage sides,0,133
"what is this?: what has rush turned themselves to? this is a horrible cd, only that. there's no point in trying to justify these plastic, incoherent and comercial songs saying ""we're trying new ways"", ""this is our best album so far"", ""we do what gives us pleasure"". one only needs to compare it with ""moving picture"", ""permanent waves"" and a handful of others rush recordings!!",0,65
"christie is a shallow narcissist: after viewing this video, it seems clear that christie brinkley is a self-centerd, shallow, narcissist. no wonder she burned through four poor husbands.",0,28
very boring movie with a swimming pool: this movie was more boring than in the bedroom. don't rent it. don't buy it.,0,22
ugh is she over yet: someone get her vocal lessons! completelt unoriginal and oversung... dont waste your money,0,18
"fit incorrect compared to other brands of same size: ordered 60x32, these are small compared to other brands of the same size - probably closer to a 56. fat sizes shouldn't be hip-hugger cut - it doesn't even make sense.",0,40
"the book tries to be too difinitive.: the book is a broad and detailed manual covering the entire list of restoration steps and processes, but what the book fails to account for are manufacturing differences created by the various gm assembly plants. an example is that a 65 chevelle model from the kansas city plant will have more undercarriage parts painted than the car assembled at the fremont, california plant. the book tends to state ""the part appears this way and this way only"" on a properly restored car and makes no accounting of mid-year changes or manufacturing location difference. i certainly hope this book is never used to judge concours chevelle restorations.for the restorer wishing to learn great deals of general information about restoring a chevelle, this can be a good reference tool, it just needs to be taken with a grain of salt not not used as the sole source of restoration information.",0,155
"do not buy: this is a waste of money, ripped apart after two workouts on a treadmill. will make you sweat but will break apart after a couple of uses. i purchased the valeo neoprene waist belt instead for the same price and its lasted me 3 weeks, makes me sweat even more and hasn't worn yet.",0,57
"terrible cueing: i have a number of the firms dvds and have been using them for two years with great results. bought this thinking i would step it up a notch but, the cueing is so bad you end up stopping to say what!! the most disconcerting thing is that the steps are off the beat of the music and that drove me crazy. it's a tough workout if you can get in your own groove but i find myself using this the least of all the firms workouts.",0,89
"good god, this sucked.: scott, keep walking, as far away as you can get from ever writing another book. you can't recap, your rants suck, and you get all pissy and whiny whenever anyone has a problem with anything you say or do. this is the worst book i have ever read, in any genre, including chyna's book. rantsylvania - we really do suck.",0,64
the wachowski brothers really drop the ball with this one.: we waited this long for this? a movie that not only does not make a heap of sense but is a major let down in the most profound sense of the word. its seems to me that the wachowski brothers only concentrated on the special effects but forgot about writing a compelling plot to go with it. the mythology that made the first matrix such a classic is thrown out for an incoherent cyber juke of a story that not only insults the legion of fans but makes them look stupid for waiting around for theses sequels.the wachowski brothers should be a shame of themselves for ripping off the fans of the first movie.,0,124
"arrived shattered: arrived broken, i should have listened to the advise given about the shipping. however, in all fairness, amazon was quick to allow me to return, and just as quick as crediting our account.",0,35
"much ado about nothing: after all the fuss about this book i could not wait to get my hands on it. throughout my reading, however, i could not wait for mr. franzen to get to the point. in the end it was an uninteresting tale about a dysfunctional family.",0,49
"ages old and nothing else--not the bbc documentary: i was sorely disappointed upon receiving this product,as i was expecting the 1988 bbc documentary called rock of ages that you can find on youtube......the front cover looked from that era and being reasonably inexpensive,i just assumed that it must be one in the same.all this dvd is,is a collection of videos any def leppard fan has seen a jillion times.bummer",0,69
"total rip off!!!!: i bought the 40 ounce version on ebay with free shipping for $28.00. i was expecting much more for the high price. the kleen kanteen is not insulated at all. if you put something cold in it, expect it to get warm really fast. if you put hot stuff in it (like me), expect it to get cold fast. expect to burn your fingers every time you pick it up. expect to burn your inner lip on hot metal ever time you take a sip. the steel is very thin. i expect that if i dropped it, it would certainly dent.this product is honestly worth about 6-8 dollars. if i bought it from their website for $28 and paid the high shipping cost, i'd be enraged when the product arrived. it's simply way too expensive.",0,138
"not what i expected...: i must admit i was surprised when i received this cover. the package for this is about 1"" thick and it weighs about a pound. the vinyl is extremely thin and actually tore as i was putting it on. the vinyl is very cheap and you can practically see right through it. i previously had a similar cover and it was thick, lined, padded, etc. this is a single thin sheet of vinyl like a cheap outdoor tablecloth.",0,82
"2nd ed forgotten realms boxed set-better left in the box: just fyi: this review is for the 2nd edition boxed set, not the d&d3; hardcover.there is much to the old axiom of 'if it ain't broke, don't fix it', and as cliche as it might be, it holds very true to the 2nd edition forgotten realms boxed set. oversized text and space wasting boarder art notwithstanding, the 2nd ed boxed set incorporates all of the nonsense of the 'time of troubles' trilogy of novels. it also adjusts the dale reckoning time line by almost a hundred years for no reason. it gives scant overviews of too large of an area, and almost nothing on the things that really matter, like characters, noble houses, and rivalries between states. it also brings out the worst of the realms, like munchkin characters such as drizzt du'urden and elminster. stick with the grey 1st edition boxed set, it's a much superior version.",0,158
"have not read the book: i will admit upfront that i have not read nor will i read this book. but let me say this about r.c. sproul.he's a smart man with a good deal of natural intelligence but in many ways he has wasted his life by supporting a dying cause - calvinism.the reformed and presbyterian denominations in the u.s. are dying, and indeed are on their deathbed, and all of sproul's intelligence cannot nor will it change the reality of this dying heresy.calvin was wrong from the beginning and sproul was wrong to take his god-given mind and use it to try to prop up calvinism.i will say again, calvin was wrong from the start. the holy spirit is nowhere present in the writings of calvin anymore than he is present in the writings of sproul because the holy spirit is not the spirit of division and untruth.what a terrible waste, but this is what happens when your father in the faith is not jesus christ but john calvin.",0,171
"you'll be sorrrrry!: this thing, as a polite term, is cheap and poorly made. if you do not intend to sit in it but rather, use it as a visual piece for selling a house, this may be for you. otherwise, save your hard earned money! shortly after using it a weld cracked. i am not huge or hold elephants in my lap. this left the chair unstable and made impossible to drink coffee while seated.regarding the weld failure, i understand that stuff from china needs help. i paid to have that repaired at a machine shop. the welder said it was just soft steel. in my opinion, this is a short term product and is produced to be sold. repeat customers? that's a laugh. without reservation i can say that i wouldn't buy another mac product; ever. almost omitted this....whatever cushioning the seat provided when new soon evaporated. no kidding, it's a joke (on consumers)!",0,156
"nothing new: there is nothing new in this book. it was written to ""preach to the choir"", to cement pre-existing opinion rather than to present evidence and change minds. researched with a ""have a theory, we'll find facts to support this theory"" rather then any real scientific method. claims that god's marriage plan of one man, one woman was set in stone from the beginning of time, yet ignores that polygamy and use of concubines was god's rule of the day in the old testament. even if it were not poorly written, the thought process investing in this book is lacking.",0,101
"okay, but not great: i am a big krall fan, but this album lacked that special touch she has had on past albums. a little bit to much orchestra, and not enough piano. an okay album, but not great.",0,39
"disappointed!!!: if the show has reed timmer & joel taylor in it, you are sure going to expect an action packed show. unfortunately, tornado glory falls very short of thrilling tv. save your money & watch the tv series ""storm chasers"". you will get much more out of watching the series than this cheap attempt of a dvd.",0,58
"horrible album, overhyped trash: don't buy this cd, i listened to it and it's wack. snoop is trying so hard to be a thug, but it doesn't come through. the production is wack and his flows are tired. give up snoop. ...",0,42
"it wasn't what i expected: i had high hopes for this mystery, but it was very choppy, and the writing just wasn't very good. i couldn't recommend it.",0,28
"the charm escapes me completely!: i couldn't even get through half of this poorly-written book. it was as though the authors were trying way too hard to think of catchy descriptive words to fit in ad nauseum. i thought it would be ""hilarious"", but i didn't find it funny in the slightest, in fact it was very boring and empty. it didn't hold my attention, the characters were one dimensional and the writing was oh, so completely bad!i found myself thinking after turning virtually every page, ""what a waste of time this is"". i finally tossed it into my garage sale box after forcing myself to read almost 1/2 of the book. the popularity of this mindless piece (rather than the subject) makes me worry about the state of society!",0,130
"how to start and manage a nursing home care business: too basic and not specific to the topic. too general. it seems the author took a template and pluged in ""nusring home business"" where necessary.",0,35
"where are the filters?: unfortunately, you get what you pay for. we bought this vacuum because it was inexpensive, and we're a family of 5 on one income. it's done a passable job, for the most part, but our filter is absolutely disgusting (we're also outside dumpers)and we cannot find one anywhere. we don't have the money to replace the vacuum, but we have an 8 month old who's crawling and we don't have a choice. it's too bad that you can't find a quality product for an affordable price anymore.",0,91
"buyer beware: false advertising: buyer beware: the model you'll receive is #3000000458 and not the model advertised. however amazon's asin: b0009pupx8 on my invoice matches the ""product details"". thus, you will receive a much lesser btu stove (14,000) and not the 21,000 btu model advertised! look close because they look identical, but differ greatly on their btu output!",0,58
"horrible!: after reading wonderful books like, ""what alice forgot"" and ""one day"" this summer it is with much regret that i wasted my time on this vapid, predictable book. the dialog alone made me roll my eyes on several occasions. i beg you...don't waste your time or money on this one.",0,51
"item not as advertised: this was a book that was not in the condition as advertised. it had ink marks on the edges of the pages and the pages were trade copy quality instead of tight and smooth. i specifically chose this seller for the description they gave of the condition of the book, as it was for a gift. very disappointed.",0,62
"aww, hell no!!!!!!: i got the email recommendation and got really excited to click ""buy"" but thank god for customer reviews! i can't believe for as cheap as technology is and how many people have been waiting for this show to come to dvd with all music and jokes intact. that money couldn't be spent on music royalties. if price is an issue, raise it! i for one would be glad to pay up to $45 a season if i could get it all and i'm sure i'm not alone. for now i'll keep watching my bootlegged dvd's that i paid $150 for all the seasons with all the memories. but it sure would be nice to have a nice, pretty, clean studio release to enjoy. i will gladly spend the money if you just pay the royalties and give us what we want.",0,144
eh: it is an ok product. a bit cheap feeling and also it wasn't advertized for which psp system it belongs (i got the wrong one although i should have checked so it's my own fault). nice packaging though.,0,39
"nice idea, but doesn't work: i agree with the person who tried this diet for 7 weeks, lost 5 lbs. the first week, then nothing else happened. that's exactly what happened to me! i started on january 18th (nine weeks ago) and i finally quit in disgust a few days ago. what was true is that you lose your food cravings during the day (i stuck to protein and vegetables/salad during breakfast and lunch.) what is not true is that your daily reward meal (usually at dinner) will enable you to lose weight. in other words, my food craving stopped, but i didn't lose weight! as a matter of fact, i started gaining weight in weeks two, three and four before again reversing. i agree in principle with everything said in this book (including the need to regulate insulin/blood sugar.) and if your goal is weight maintenance while eating anything you want (including pizza, chocolate, ice cream, and pasta) on a daily basis, then this book is for you. but you will never never never lose weight with this.",0,179
"don't waste your money on this one.: i don't like this book for following reasons:- the source code can't be used on a project due to bugs and poor quality.- the author does not know what java beans are but goes on to provide a buggy utility class.- about 30% of the book is dedicated to non xml related concepts such as ejbs and servelts etc.,- does not explain the concepts of dom l1/l2 in detail.- does not describe jaxp in sufficient detail.there are few more reasons, but i will stop here due to lack of time...the landscape of java & xml is very dynamic. there are lots of good books on xml but there are no good ones that provide good conent in the context of java and jaxp. there is no point in buying this book unless company is paying for it.",0,144
"tired social darwinism: this stuff is not total bs, but i would be hard pressed to give any novel so aestetically displeasing as this anything more than a 7, even with some great passages. the characters are one dimensional, the philosophy is half baked, and the plot is does not exist. a slow plot would be ok, if the characters were capable of some joycean epiphany, but epiphany is made impossible by the philosophy",0,74
"whats all the fuss: sounds like a thousand outher garage funk bands out there ,lead singer very annoying ,bad mix on the recording not that impressed sorry",0,27
