,txt,sentiment,num_of_words
730,boring....ridiculously long chapters.: the book i downloaded on my nook and kindle doesnt seem like the same one i read in school. this version bored me to tears.,0,28
732,the scarlett letter: written in old english. it was very hard to read as i had to think through most sentences to figure out what was being said.,0,28
752,"a classic: i loved this book in high school, and i love it now. a tale of a strong woman that doesn't let society bring her down.",1,27
757,"it's great.: this is the great and very interesting book to read.so for your great experience, pls. try it as soon. :-)",1,22
771,wonderful classic: i enjoy this book very much. it is a timely classic with which i am happy to now have my own copy.,1,24
778,classic tale: loved this book as well. the movies as always stray from the book- i was pleasantly surprised and taken in by all the characters.,1,26
790,a must read: everyone needs to read this classic. an amazing look into the piousness of the early settlers. i really appreciated it a lot.,1,25
880,a book value: the classic book that is read by virtually every high school student in america ; and at a bargian price,1,23
913,not user friendly: the dish is not easy to take apart for cleaning and i wish i could put in it the microwave.,0,23
1012,great book: this book is really helpful for learning about color theory. its technical but really interesting so you can get through it easily.,1,24
1072,a charlie brown christmas [vhs]: this product completely fulfills my requirements for its ease of use. it provides the accuracy i require. it is entirely recommendable.,1,26
1090,great christmas classic: i loved this movie as a kid and still enjoy it. with the remastered deluxe edition the color is great.,1,23
1091,"great movie!: great movie from my childhood! looks great on dvd. i thought it would look like an old movie, but it doesn't.",1,23
1092,good movie: this is a classic and always good. i used it for my students in class as charlie brown never goes out of style.,1,25
1112,clean: excellent copy and shipped fast. this is one of the books that i have been waiting to read. clean book.,1,21
1134,"don't buy it!: ever since i bought this and charged my ibook with it, my ibook hasn't worked! don't buy it.",0,21
1137,"junk: as others have experienced, mine starts a a charge/battery/charge cycle that is maddening, and probably no good at all for the battery. don't buy.",0,25
1144,"it stopped working after a few weeks: it worked well for a few weeks, but then the battery of my ibook g4 stopped being re-charged.",0,25
1256,"does not work: i purchased this product and the dvd's don't even work. i can't even use them. i get nothing,no picture,nothing.",0,22
1309,"great product: i am so happy with this product. my drawers stay neat, clean and most umpotantly organized - i can find everything quickly.",1,24
1310,plain and simple: a women's journey to the amish: this book arrived in a short amount of time and was in very good condition,1,24
1365,broken: i was not even able to use this item because it tore upon putting it together. do not buy this item!,0,22
1377,not what i was anticipating: thought it was a picture book of the fiords.... that's what happens sometimes when you cannot actually touch a book...,0,25
1379,nice print: a bit small then i would like but it was nice. got it for my son's history class and it worked out great,1,25
1387,is there a bad guy clark cd?: of course not. and this is another great one. just stop putzing around and buy it.,1,23
1397,did not like at all.: i just did not like the story line.ii was not able to get into the story. didn't even finish the book.,0,26
1419,"dolly parton - the grass is blue: this is a great cd, especially if you like bluegrass music and dolly parton. what a fantastic combination!",1,25
1441,"a fun-filled fantasy adventure: ""castle"" is a wonderful book for children who have short attention spans. it provides adventure and re-affirms the laws of chivalry.",1,25
1452,i liked it: i love the way elizabeth winthrop describes his emotions about mrs. phillips leaving. it was exiting and i couldn't put it down!,1,25
1479,welcome to 1059 baseball!: this is a great book that will give you insight on what major league baseball was really like in the late 50's,1,26
1525,fast and in good shape: it came to me pretty fast and was in good shape when i opened it. very happy with it. thanks,1,25
1642,"not good: i didn't find this book at all interesting.. all though there was occasional humor.. in general, i didn't enjoy this piece of literature.",0,25
1689,just what i was looking for!: i was looking for a simple set of fireplace tools and this is just what i needed and fairly priced.,1,26
1696,broken: when the tool set arrived it was okay..smaller than i thought but mostly one of the tools was broken so it made the set not acceptable.,0,27
1729,"outrageously funny: this book is laugh-out-loud funny, a great read and romantic enough to keep me turning the pages. i couldn't put it down!",1,24
1783,gun digest: the book was bought as a gift for my brother. he likes it and we were very pleased with speed of delivery and service.,1,26
1806,ninnia: this monitor is great. the service i got when i order was fast and great. i would order again.,1,20
1811,most informative: this is the most informative series on goju ryu in print. absolutely a must for all goju-ryu karate-ka.,1,20
1836,very good product: great product. i gave this product to my son and i feel much better that he and his family are safer from carbon monoxide. thanks.,1,28
1850,the truth: this book will take you to another uncomfortable space where your believes and ideas of spirituality will change. change is necessary if you want to know.,1,28
1897,the knowledge of healing: a good video but it did not have enough information that i could use with my clients.a helpful overview of what is possible,1,27
1951,"great find: after long search for translation of montale's poems, this bilingual edition was perfect. book was in perfect condition and arrived at exactly the announced date.",1,27
1957,"not very good: i don't remember this movie, so i know it was bad. i probably did not watch the whole thing. bad production, bad acting",0,26
1982,awesome costume: this is a great costume. all the extra pieces make it really great. this is one of our favorite costumes.,1,22
2042,lame: recipes are a bit strange and not easy to follow. i wouldn't recomment this book at this time for anyone serious about cooking.,0,24
2107,"great value: i got this for 40 something dollars and it was a great vale for my pocket, plus the great pic quality",1,23
2116,spider-man - the motion picture dvd triology: this item was a gift and i am basing my review on the three movies which i have seen.,1,26
2140,good: good why would i want to keep writing writing and writing while all i wanted to say is good. strange.,1,21
2162,"bratz helmet: when i ordered this product, i didn't see a size chart and i was sent a size that is not suitable for the purpose intended.",0,27
2167,"perfect christmas gift!: very happy with purchase. item was shipped fast, nicer than expected and the price was very reasonable. ping to be a nice christmas gift.",1,27
2176,wonderful: it just helps to have god's word there for you in the area or topic you need to focus on. very helpful and easy to use.,1,27
2190,"pretty good: i've read all of the night world books, and this is a great book, but i must say, it's not l. j. smith's best",1,26
2263,"zzzzzzzzzz.....snooze-fest: great, another socially aware electro-dance record. i can't wait for the an iraqi to come out with one about the current us led invasion.",0,25
2302,2/5: this album is 2 stars because some of the songs are listenable. i hardly enjoy listening to this album.i hardly recommend this album. addy.,0,25
2307,great: insert the cd and listen to the first track. this is everything nightwish is known for. any fan will love this album,1,23
2364,the autobiography of my mother: did not really get lost in there book....found it boring....and i really wanted to stop reading it! but chose to painstakingly finish it..,0,28
2365,the autobiography of my mother: it's not a book i'll ever read again. it was very boring. glad i didn't pay that much. i give it a star.,0,28
2384,"solid value: i might not want to nap on it myself, but my 2 year old loves it. good quality and a fair price.",1,24
2386,"wonderful app: i love reading essence magazine, i am happy i can now read it on my kindle fire. i recommend this",1,22
2409,d koontzs books: was looking for the frankenstein series. i found the first three books. they were brand new and arrived in good time.,1,24
2438,love it!: i am very happy with the weight and quality of this product. i wear this necklace often and love it!,1,22
2441,not for me.: thought it was poorly written. the story was long & boring. thought i would try her to find new writers. will not buy again.,0,27
2446,the music is old and tired at this point.: the music has been out. what is the purpose of it? forget it,0,22
2478,don't buy: this is the worst recording of nirvana i have ever heard! the entire thing sounds horrible. don'buy it!!,0,20
2532,"vitex: this product was great , smells weird but it is a root. i would buy it again, no side effects. great service and price.",1,25
2555,the song is soulful: u are one of the best singers and in this song the two of u sound absolutely brilliant. when are u coming to india,1,28
2619,great book: this is a classic book that i have always loved and now can read on my kindle. glad to see it free!,1,24
2663,great!: loving the book. was in good condition and arrived in a timely manner! i can not wait to funish the book. great price too. thank you!,1,27
2773,extremely comprehensive reference to the language of surgery: this reference of over 1000 pages is the best i have ever used to transcribe surgical reports.,1,25
2795,"best kerouac: this is timeless and inspiring. i buy it for many people who think kerouac is just ""on the road"" .",1,22
2817,good read: great read. if you have something mote profound to read i would suggest that. all in all a great story though.,1,23
2819,"dont waste your time: uninteresting and boring, the story accomplishes nothing from start to finish. save your time and money and dont bother with this book.",0,26
2834,"farily decent movie: i didn't like some of the plot twist, of a former leader of the autobots but other than that it was pretty good.",1,26
2854,transformer: items waas as described and shipped on time. was a gift and just what was asked for. item was in very good condition.,1,24
2861,good movie: i like all of the transformers movies. this one is fun too. i would recommend it to any fan of the first two movies.,1,26
2877,enough already: two of these movies was plenty. the hot girl was so ridiculously hot as to be unbelievable and not in a good way.,0,25
2884,transformers: i have not received it yet am very disappointed as i was told i would get it by the official release date am still waiting,0,26
2907,lousy: this movie became so boring i stopped watching it after an hour and a half. i liked the first one much better.,0,23
2921,a time waster: this is one of the worst movies i've ever seen. poor shia has to have a high paid model to make his acting look better.,0,28
2938,best video ever!: this movie is the best movie anyone will ever see in their entire freaking life! best movie ever! it rocks!,1,23
2949,good purchase!: i love this purchase and i would recommend it to any one to purchase this item for their fun and excitement!,1,23
2951,awesome movie: this is a great addition to any dvd collection. i would highly recommend this dvd for anyone who likes this tv series.,1,24
2954,transformer: very please with the product and time to receive the merchandise..will definitely buy from amazon in the future. very pleased with the purchase.,1,24
2962,"love the transformers series: great movie series, fun to watch hope it continues with more sequels. this one was as good as the first ones.",1,25
2963,dark of the moon: i love this movie! the special effects are crazy and the storyline was interesting also. i highly recommend this movie.,1,24
2965,great movie: thanks for the great price and movie. it was really good. but of course i love the 1st one the best.,1,23
2975,great movie: unfortunately i had to return this movie. it was also a christmas gift. already had one.. my kids have one or i would have kept it..,1,28
2980,movies on time: the movies get to me the same day they hit the stores and i dont have to drive to get them.,1,24
3007,story too boring: the story is so boring. i still have not finished yet after three nights watching: i only take it for half hour.,0,25
3021,"transformers 3d: the movie was all we expected, and the 3d was just that much better. definitly worth the money. i was very pleased with my purchase.",1,27
3045,love it: i ordered this movie from amazon in good condition. if i need any movies i will order from amazon again.,1,22
3053,good: i thought it was a good movie. i grew up watchig transformers. its nice to see it brought to the big screen.,1,23
3079,great movie!!: i could watch this movie over and over and over again. the graphics were totally awesome. a must see for all.,1,23
3091,best movie ever!!: this movie kicks a** all the way and i can't wait for this to come out on dvd because it's an excellent movie!,1,26
3101,":0( booo!: first the acting was so so so bad the movie, this is what i have to say ?but they get e for effort.",0,25
3126,nice: this cd is the epitome of good soundtrack music. you'll get a variety of good music in this album. definitely recommended.,1,22
3134,lorna doone: i bought this book for my friend lorna for all she has done for me and she got a kick out of it,1,25
3264,white suspenders: the suspenders i ordered were just what i was looking for and they were delivered in a timely fashion in time for my boyfriend's birthday!,0,27
3270,awesome hiking boot: these are my 1st pair of hi-tec boots and i could recommend them to anyone looking for a quality product at a great price.,1,27
3281,very good for the price: this boot fits to size and is comfortable. i would purchase again. i use to purchase boots from ll bean.,1,25
3344,i needed that....: it is a good book for review and modivation. technique is well explained. makes a great read for beginner and intermediate fly fisherman.,1,26
3348,"paxton quigley is a realist: when women ask me about safety and firearms, this is the first book i recommend to help them on their terms.",1,26
3412,"not what i expected: i purchased this for my granddaughter, we love reading together. the print was way to small and no way to make it bigger.",0,27
3514,"trite, simple, unimaginative: what more can i say? the mule? give me a break. how can anyone consider this to be great fiction? go read something else....",0,27
3520,classic sf: the middle of a trilogy that should be read in sequence. lots of great characters and ideas. asimov is the best,1,23
3525,fantastic!: this story is epic. asimov shines in the foundation. makes you want to read the whole series. (something im in the process of doing now. ;),1,27
3577,"just kidding around: this book was hilarious. i read it yesterday, and i am still laughing my asimov. get it? hahahaha. huh. okay. nevermind.",1,24
3580,foundation and the complete series: couldn't put any of the books in this series down. there is a college education in those books!,1,23
3635,love it: great movie!!! cage is a great druggie i mean for being a cop. what a way to gain trust from the bad folk's.,1,25
3645,"one of 2010's best films: get this movie!! if you like quentin tarantino, you'll love this incredible ride of a film. cage is nothing less than brilliant.",1,27
3646,"worst movie ever!: horrible movie, worst i have ever seen! nick cage's career is definitely over if it wasn't before this piece of garbage!",0,24
3662,"""this movie is awful"": there is no words to describe this movie! all i can say this movie sucks and it was awful!",0,23
3711,three's company: this is one of the best comedy ever in the world tv until now i am still watching this comedy every time,1,24
3715,"not of good quality!: in the picture it seems bright, cool, so i ordered! i received it few days back.. not good looking, not of good quality!!",0,27
3777,liked it: this was a fascinating look at mental illness. i could really feel her pain and understand how easy it would be to slip into this state.,1,28
3810,great movie: a good collection and will be a long time favorite a movie to be never forgotten. mel is a good actor,1,23
3870,"good: a gift for my friend he loved it is a child movie and could find it anywhere but here, great price and fast shipping",1,25
3934,great puzzle: my 3 year old granddaughter loved this puzzle. it is very colorful i would definitely recommend this puzzle. it is very well constructed.,1,25
3975,"have not received my item in a month.: my order was placed on august 28, but i have not received the printer in a month.",0,25
3980,this is so useful: i have had my handbook for a few years and this book has helped me with a bunch of papers for college.,1,26
4025,"quality: i liked this, my guests said it was comfortable. it stayed inflated for the 7 days of guests and no one complained about it.",1,25
4051,perfect for me: i like iti was looking for it i found it i got and i am enjoying it to the fullesti recommend it to anyone,1,27
4122,bad product: this is not worth the price. used it once and had to re-inflate it five times. does not hold air. a piece of junk.,0,26
4176,"not waterproof!: it's not water proof and it rusts on the inside. the turning head is a nice feature, but i don't think i really needed it.",0,27
4177,"easy climax: i'm very pleased with this product because it has a natural feeling head and makes climaxing easyand can be used in the bathtub,shower or where ever.",1,28
4192,okay.....: i think the rabbit part is kind of bothersome and i thought the actual shaft would vibrate not just the rabbit. weird.,1,23
4210,wow!!: this product definitely does what is said to do. i haven't had any problems with it and its not too thick and the power is great.,1,27
4247,"broken: i received this product in the mail yesterday, put in the batteries and the rotating beads do not work. complete waste of money.",0,24
4262,"buy something else: the dvd is a documentory, alot of talking and very little music. i thought it was them in concert. too much talking",0,25
4298,i hate it: our teacher mrs green made us read it and we had to do a book report about it!it sucks!!!!!!!!,0,22
4359,boring...: i couldn't get into this one. i felt the story was lacking and dragging on. i didn't get through half of it before i gave up.,0,27
4360,okay: i liked the book but it wasn't one of my favorite reads. it ended up being a good book overall.,1,21
4369,"good chick lit!: this was a very good, fun light read. very much enjoyed it. am looking forward to reading more of her books!",1,24
4391,"i hate it.: terrible book. i'm not into classics, so if you're like me, don't buy it. if you like them, buy it.",0,23
4412,book review: shipped promptly! just what dauther needed and in time for her to read for her english class! i would recommend!,1,22
4414,i don't know: i don't know want the book is about yet hahaha so can i read now? thank you ? this is i don't know,1,26
4425,"the best of shakespeare: this is the best tragedy ever written. i wish this had professional audio! i recommend this book to any, and everyone.",1,25
4427,"a must have: if you're a dolly parton fan (even somewhat of a fan), this is a must have for your collection. it will not disappoint!!",1,26
4455,"color selection.: i find it very frustrating not to be able to choose my own color! if this practice was changed, i might order this product!",0,26
4482,"good: it was a good book with a good lesson. i just prefer 1,2,3 magic (effective discipline for children 2-12) by thomas w. phelan, phd.",1,25
4530,very poor: would not buy it.not worth the money.did not tell me all the things that i could see in the cities.would not recommend to anyone.,0,26
4565,"translation: even thou i enjoyed the art, the book wasn't in english. i wanted to read and understand about the art, to bad.",0,23
4591,don't waste your money!: this was a real disappointment. it is incredibly flimsy and poorly made. will never hold up to its intended play.,0,24
4629,10 channel mixer: i bought this mixer for my husband off his wish list. he was very excited and loves it!!!!!,1,21
4635,clifford: this is a very good book for the younger readers. it is straight forward and gives good halloween costume ideas for little kids,1,24
4640,do not buy this scanner: absolutely the worst software for flatbed scanner i have ever encountered. scan is slow and softcover lousy. don't buy,0,24
4653,did not like: just not my type of book. very boring but i got through it. hard to stick with it until the end.,0,24
4660,bad quality: installation and use was easy and good. but the quality of the product was really bad and it was going loose and stopped working in between.,0,28
4699,"great teaching tool: this is a great puzzle to have in a childcare center , the children love working with the different numbers",1,23
4738,intersting: this book has opend up my eyes. robert frost is in my mind one of the best potes in the world.,1,22
4788,pretty good: the set-up was a little weird and random but the writing was excellent. it was fun to read.,1,20
4800,okay: this is an okay player. i never had skipping problems. the music played pretty good. i rate it okay.,1,20
4858,"only 1 in the bag: >:i assumed that the 3 items in the picture was what i was buying, not 1, what am gonna do with one?",0,27
4946,"huh?: i get the idea to be clear and to the point. but this was outdated before it was written, a real basic book,kids should read it once",0,28
4947,returned it: this book is not like he rest of dale carnegie's books. the rest of hem are interesting and easy reeds. this'd one is bad,0,26
5027,great and insghtful: well written and informative. i finished the whole 689 page book in one week and three days. highly recommended!!,1,22
5047,"excelent: very interesting read, if you love history you will love this book as i did. i could not put it down.",1,22
5057,i love my card holders: it makes so much easier to hold my cards and my friends like them very much. thanks for selling this product.,1,26
5061,"not new ,disappointed: i was surprised to see that the item was used. advertised as new. would have liked the new ones stead got used.",0,25
5068,watch the price: i bought this from the same co. before christmas and was stunned that the price had doubled. on the page the price was not clear!,0,28
5143,works well with the samsung wep200: i wanted an in ear blue tooth headset but couldn't get them to stay in. these made it work!,1,25
5157,good: i have not really had a chance to use these but my daughter states that it works for her very well.,1,22
5211,works great: this mold is great for what i need. chocolate pops right out of the plastic. would buy again if needed,1,22
5226,useful: needed for class. it got the job done. interesting book and i'm glad i had to read it. would recommend.,1,21
5238,very action packed and cool: i like this movie. i like the part when moby dick attacks. i think the captain is weird.,1,23
5282,"van damme's a bad guy ?: i would say the plot is good, but the action and fighting scenes are not in favour for action-movie goers.",0,26
5320,"wonderful book: i love this book, it has different kinds of projects that you'll enjoy, and the charts are neat, i love it!!!!!!",1,23
5327,under the tuscan sun: to be honest i expected a little more from the movie. it was too mellow and somewhat boring.,0,22
5330,stinks: this movie was terrible. if there was an option for - stars i would go there.read the book it's much more entertaining!,0,23
5454,far cry from original: don't waste your time or money on this remake. even rebecca's hotness can't save it. watch the original with james caan.,0,25
5487,needed for class: not too much to say; it is the book i needed for class and i got it at a good price on amazon.,1,26
5511,jack and the giant: a story full of beans: this wonderful book has a great southwest twist and the illustrations are incredible!,1,22
5542,great toy: the toy is pretty awsome. it is a lot of fun and really cool. the only problem is that the batteries die really fast.,1,26
5544,"coooooooooooooooooool: this toy looks really cool, but i think they should make it have better graphics and a better screen.",1,20
5565,excellent lyrics: if your looking for music that is true to life and chills u out on a sunny sfternoon then buy this cd...beautiful voice!,1,25
5596,"a+: the book came really fast and was in great condition, i cant wait to read it i would order from them again for sure.",1,25
5612,this movie is funny: i really liked the part when john candy was at the firing range. this movie is one of candy's greatest.,1,24
5615,tbone: thought this was a cd by the group pieces of a dream. you put it with their cds. not what i wanted.,0,23
5639,"zelia duncan: this is an excellent dvd. the music is fantastic, the singer is great and the musicians are the best. i highly recommend it!",1,25
5702,egyptian technique: this is a wonderful video. teachings egyptian technique and combos- i love it. it has helped me become a better dancer.,1,23
5733,"too many names, too little interest.: this book needs a grammar check. it is incomprehensible. i am trying to return it. it sucks, to coin a pun.",0,27
5755,"old information: unfortunately, i did not like this book. i found it difficult to read and boring, even though it was recommended by a friend..",0,25
5767,"not for me: i thought that this might be interesting, but language was too old and i found it to be boring. i deleted it soon after.",0,27
5798,"not enough information. cap did not fit my model.: the item was not fully described. i thought it would fit my rebel camera,however it did not.nor",0,26
5811,great story!: i read this book in one day. that's a big deal for me. i thought the author did a fantastic job.,1,23
5834,"works as desired: not completely perfect, but reliable, and frankly, it extends the reach of my headphones. this is all i need it to do.",1,25
5849,it works!: it's good price and works as expect. after a month of use it still going strong. the plug is sung. it keeps the headphone attached firmly.,1,28
5862,it was a waste of money and time.: it's not at all what i expected. still have not found what i was looking for in thefirst place,0,27
5869,terrible book: my professor was not happy with this rendition of the book.he felt it was interpreted poorly and wanted me to buy another book.,0,25
5890,cheaper at amazon than anywhere else: i didn't want to risk a generic charger and got the canon brand at the lowest price at amazon.,1,25
5894,exactly like my original: i lost my original charger and bought this to replace it and it works just like the original. very happy about this purchase!,1,27
5933,didn't work: tried to play on two different blu-ray players and it simply would not play. i could only get it to play on my computer. no good.,0,28
6026,"daughter loved it!: i purchased this for my daughter, expecting her 1st child. she loved it! tons of information in a fun way! very enjoyable and informative.",1,27
6031,take a class: don't waste your money. if she had been my instructor i would have asked for my money back,0,21
6103,"video player: i really wanted to play the bingo game, however, the cd's did not play. i tried to play other games, to no avail.",0,25
6132,great book!: great book for people that need to write email. it would be nice to review the grammar rule's from time to time.,1,24
6138,very helpful!!: very nice book! i am very happy with all the information on this book. it explains a lot of english grammar!,1,23
6139,excellent work: great book. really helpful and easy to follow. i know it will come in handy because i am not the best at speaking or writing.thank you!,1,28
6143,no dice: this is a book that serves no purpose i would not read again it does not do wat the title says it is,0,25
6159,usher's concert: if you a fan of usher this blue ray concert is a must have. the quality and his performances are very good.,1,24
6238,to much detail: great imagination! a little to much time spent on details. but i guess that makes for a good book writer.,1,23
6241,boring: don't bother wasting your money. this book is slow and goes nowhere fast. i could not even finish the book.,0,21
6270,clan of the cave bear: this book was delivered on time and in the condition advertised. i would purchase a used book again from this source.,1,26
6288,"what i expected: friend told me about the book , have not started to read it yet. hope it is as good as she said.",1,25
6291,for beginners: this is a very good book for the beginners to gain a overall knowledge of pl/1 and start making small programs.,1,23
6317,"moving story and film: i enjoyed this film. although a tear jerker, i thought the acting was well done and the script was well written.",1,25
6341,"very fun game: in a lot of ways it does show its age, but most everything about the game is still very fun and pretty addicting.",1,26
6353,"limericks: if you are looking for a nonsense limerick, this is the book for you - otherwise, keep looking. i kept looking.",0,22
6369,wrong info: i thought the dvd was concert footage and it is still shots with music. i do love this album from motorhead though.,0,24
6382,metal all the way.: this band has some very good music. the track 'let me be your tank' has to be my favorite off the entire album.,1,27
6423,"femalien: the r rated dvd of this movie is not worth the price. it's cut to smithereens. buy the unrated version, instead.",0,22
6425,"don't waste your money!: no plot,waste of time and money in this 'disney porn' flick with ugly girls and stupid story line,stay away!!!",0,23
6426,femalien: a soft adult movie. good to watch once if you are in the mood for that type of movie.save your money and get something else.,0,26
6441,"great movie: i thought it was a very entertaining movie, should have gotten more press when it came out. very good acting also",1,23
6500,gold toe is the gold standard: love these socks from gold toe. they last and they are well made. most of my socks are gold toe.,1,26
6548,"horrible: this movie was just plain bad. bad story. bad ""gore"". bad everything. don't waste your money or your time watching this.",0,22
6555,"hockey! we love hockey!: this movie was funny! i love hockey, and i love this movie. if you love hockey, then you'll love this movie!",1,25
6602,"thomas the train tracks: this is a good product, but highly over-priced. $10 for four pieces of track ???????",0,19
6609,2k3: this is the same as playstation2 verison i love all ov the 2k's this has better graphics then playstation2 but this is a good gane overall.,1,27
6623,"wonderfully inspirational!: if you've ever wondered *what if* about a past love, this is the book for you!! a great read!!!",1,21
6629,grat book!: a must have for those wanting to know about the growth of civil aviation in the 1920's and beyond.,1,21
6639,avid reader: boring. this book should have been a short story. i am shocked that people liked it so much.,0,20
6660,"interfaith symbol charm: the order came in a timely manner, it was in perfect condition. i was greatly please with the service and the product.",1,25
6693,disappointed: this book basically gives you the history of words and how they were established. it was not what i was looking for! not a good read!,0,27
6750,recent purchase: the book i ordered was exactly as described and delivery was even faster than promised.,1,17
6781,best cover album ever!!: this is a great album with many catchy tunes. listenable from start to finish and a great primer into scots.,1,24
6826,it was a very good description of life during anti-social ti: it was a very good description of life during anti-social time,0,22
6954,great!(:: the book was a little slow being delivered but no problems! it also came in better condition than i was expecting! (:,1,23
6988,it rings false.: the book has not much to say. it is just the common night-mares of its time. the contents can be discussed as a historical document.,0,28
7073,a majority of one: this movie is a classic! so glad to have found it:) they just don't make movies like this any more.,1,24
7098,cannot be used with playtex nurser bottles: i was very disappointed to get this product and find out that it cannot be used with playtex nurser bottles.,0,27
7158,"wonderful feminist novel: this is a great, imaginative book, one of my favorites. i highly recommend it.",1,17
7196,"great book: the author did a great job. it is a very high reading in my opinion. little complex storyline, but very great story!",1,24
7247,great buy: great buy. the book came as described and in a timely fashion. i will order from them again.,1,20
7250,never received: i never received the product in the mail. needed it for summer reading for school and had to go to the bookstore to buy it.,0,27
7256,a time waste: simply unreadable. a nonsense book and a ridiculous plot. sincerely one of the worst books i've ever read.,0,21
7263,"a great read...thank you!: grateful i stumbled upon this book. a fantastic read. timeless and incredibly thought provoking.if the summary grabs you at all, give it a chance.",1,28
7275,good value: this was ordered for a teenager who had it on his reading list. it was an excellent used copy and a great value for the money.,1,28
7293,"read this book: amazingly written!! ray bradbury is a visionary. the book was intriguing, and suspenseful. when i read it i couldn't put it down!",1,25
7325,ok: the book was not that bad-but i wouldn't strongly recommend it. it was a bit weird for my liking.,0,20
7380,"great but hard to follow.: this is amazing, all predictions and foreshadows came true in our present day lives. amazing story a must read.",1,24
7387,"good book: what can i say that has not already been said. it is a bit dark and too short, but a great effort none the less.",1,27
7396,great read: i loved this book in high school and now that i'm reading it ten years later the messages are even more relevant and insightful.,1,26
7530,"good, easy read...: this was a cute story, although not too original. easy read. i would read this author again.classic feel good love story.",1,24
7555,"love british movies: but i had already seen some of this movie on netflix, and did not realize until i had purchased this movie",0,24
7559,excellent collection.: i loved all eight films on this dvd. all of the stories were great and the actors did a wonderful job.,1,23
7561,disapointed: have not seen them all but several so far are trash and the others so-so. would not see them again or recommend them to anyone.,0,26
7571,"ballet flat: for it being a clark shoe, it had no arch support. i returned item but had to pay the shipping.",0,22
7580,not used yet: these are spares for the wristrocket i bought my daughter so the have not been tested but they seam fine.,1,23
7657,i am pleased: receiving this product was right on time. my opinion of the book was very informational for me.,1,20
7735,works well: this halti collar worked well at controlling my great dane. he learned not to pull very quickly.,1,19
7748,"disappointed: i've seen better episodes on tv. forgettable, don't even remember what it was about and it wasn't long ago that i saw it.",0,24
7750,"stargate: continuum: i didn't recieve the dvd at all, was really looking forward to watching it :( makes me sad....... wendy johnson",0,22
7754,"great for any stargate fan!: too bad good shows do not last forever, but this dvd continues the stargate tradition. it is good fun!",1,24
7757,pretty good.: this movie is pretty good. it didn't require an indepth knowledge of the tv show to follow the movie.,1,21
7760,stargate continuum: so glad i purchased the movie. i love the stargate series and this was very good. the story line and characters kept the action moving,1,27
7783,"outstanding: even for someone who wasn't a huge fan of the show, this movie is a must see. clever story, great flick!",1,22
7808,"great item: sg1 continuum, is a great movie. the cgi is flawless and over all a great movie. i hope it isn't the last mgm does.",1,26
7811,stargate fan: i have been a fan of stargate from the beginning. this movie was excellent. i would highly recommend it.,1,21
7853,love!: i really like his music and enoy to listening to it all the time. i would recommend this cd to everyone.,1,22
7861,very happy: these are great tires for my old beach cruiser. size was perfect and a fraction of the price the bike shop charges!,1,24
