,txt,sentiment,num_of_words
3662,"""this movie is awful"": there is no words to describe this movie! all i can say this movie sucks and it was awful!",0,23
3715,"not of good quality!: in the picture it seems bright, cool, so i ordered! i received it few days back.. not good looking, not of good quality!!",0,27
3975,"have not received my item in a month.: my order was placed on august 28, but i have not received the printer in a month.",0,25
4122,bad product: this is not worth the price. used it once and had to re-inflate it five times. does not hold air. a piece of junk.,0,26
4176,"not waterproof!: it's not water proof and it rusts on the inside. the turning head is a nice feature, but i don't think i really needed it.",0,27
4247,"broken: i received this product in the mail yesterday, put in the batteries and the rotating beads do not work. complete waste of money.",0,24
4262,"buy something else: the dvd is a documentory, alot of talking and very little music. i thought it was them in concert. too much talking",0,25
4298,i hate it: our teacher mrs green made us read it and we had to do a book report about it!it sucks!!!!!!!!,0,22
4359,boring...: i couldn't get into this one. i felt the story was lacking and dragging on. i didn't get through half of it before i gave up.,0,27
4391,"i hate it.: terrible book. i'm not into classics, so if you're like me, don't buy it. if you like them, buy it.",0,23
4455,"color selection.: i find it very frustrating not to be able to choose my own color! if this practice was changed, i might order this product!",0,26
4530,very poor: would not buy it.not worth the money.did not tell me all the things that i could see in the cities.would not recommend to anyone.,0,26
4565,"translation: even thou i enjoyed the art, the book wasn't in english. i wanted to read and understand about the art, to bad.",0,23
4591,don't waste your money!: this was a real disappointment. it is incredibly flimsy and poorly made. will never hold up to its intended play.,0,24
4640,do not buy this scanner: absolutely the worst software for flatbed scanner i have ever encountered. scan is slow and softcover lousy. don't buy,0,24
4653,did not like: just not my type of book. very boring but i got through it. hard to stick with it until the end.,0,24
4660,bad quality: installation and use was easy and good. but the quality of the product was really bad and it was going loose and stopped working in between.,0,28
4858,"only 1 in the bag: >:i assumed that the 3 items in the picture was what i was buying, not 1, what am gonna do with one?",0,27
4946,"huh?: i get the idea to be clear and to the point. but this was outdated before it was written, a real basic book,kids should read it once",0,28
4947,returned it: this book is not like he rest of dale carnegie's books. the rest of hem are interesting and easy reeds. this'd one is bad,0,26
5061,"not new ,disappointed: i was surprised to see that the item was used. advertised as new. would have liked the new ones stead got used.",0,25
5068,watch the price: i bought this from the same co. before christmas and was stunned that the price had doubled. on the page the price was not clear!,0,28
5282,"van damme's a bad guy ?: i would say the plot is good, but the action and fighting scenes are not in favour for action-movie goers.",0,26
5327,under the tuscan sun: to be honest i expected a little more from the movie. it was too mellow and somewhat boring.,0,22
5330,stinks: this movie was terrible. if there was an option for - stars i would go there.read the book it's much more entertaining!,0,23
5454,far cry from original: don't waste your time or money on this remake. even rebecca's hotness can't save it. watch the original with james caan.,0,25
5615,tbone: thought this was a cd by the group pieces of a dream. you put it with their cds. not what i wanted.,0,23
5733,"too many names, too little interest.: this book needs a grammar check. it is incomprehensible. i am trying to return it. it sucks, to coin a pun.",0,27
5755,"old information: unfortunately, i did not like this book. i found it difficult to read and boring, even though it was recommended by a friend..",0,25
5767,"not for me: i thought that this might be interesting, but language was too old and i found it to be boring. i deleted it soon after.",0,27
5798,"not enough information. cap did not fit my model.: the item was not fully described. i thought it would fit my rebel camera,however it did not.nor",0,26
5862,it was a waste of money and time.: it's not at all what i expected. still have not found what i was looking for in thefirst place,0,27
5869,terrible book: my professor was not happy with this rendition of the book.he felt it was interpreted poorly and wanted me to buy another book.,0,25
5933,didn't work: tried to play on two different blu-ray players and it simply would not play. i could only get it to play on my computer. no good.,0,28
6031,take a class: don't waste your money. if she had been my instructor i would have asked for my money back,0,21
6103,"video player: i really wanted to play the bingo game, however, the cd's did not play. i tried to play other games, to no avail.",0,25
6143,no dice: this is a book that serves no purpose i would not read again it does not do wat the title says it is,0,25
6241,boring: don't bother wasting your money. this book is slow and goes nowhere fast. i could not even finish the book.,0,21
6353,"limericks: if you are looking for a nonsense limerick, this is the book for you - otherwise, keep looking. i kept looking.",0,22
6369,wrong info: i thought the dvd was concert footage and it is still shots with music. i do love this album from motorhead though.,0,24
6423,"femalien: the r rated dvd of this movie is not worth the price. it's cut to smithereens. buy the unrated version, instead.",0,22
6425,"don't waste your money!: no plot,waste of time and money in this 'disney porn' flick with ugly girls and stupid story line,stay away!!!",0,23
6426,femalien: a soft adult movie. good to watch once if you are in the mood for that type of movie.save your money and get something else.,0,26
6548,"horrible: this movie was just plain bad. bad story. bad ""gore"". bad everything. don't waste your money or your time watching this.",0,22
6602,"thomas the train tracks: this is a good product, but highly over-priced. $10 for four pieces of track ???????",0,19
6639,avid reader: boring. this book should have been a short story. i am shocked that people liked it so much.,0,20
6693,disappointed: this book basically gives you the history of words and how they were established. it was not what i was looking for! not a good read!,0,27
6826,it was a very good description of life during anti-social ti: it was a very good description of life during anti-social time,0,22
6988,it rings false.: the book has not much to say. it is just the common night-mares of its time. the contents can be discussed as a historical document.,0,28
7098,cannot be used with playtex nurser bottles: i was very disappointed to get this product and find out that it cannot be used with playtex nurser bottles.,0,27
7250,never received: i never received the product in the mail. needed it for summer reading for school and had to go to the bookstore to buy it.,0,27
7256,a time waste: simply unreadable. a nonsense book and a ridiculous plot. sincerely one of the worst books i've ever read.,0,21
7325,ok: the book was not that bad-but i wouldn't strongly recommend it. it was a bit weird for my liking.,0,20
7555,"love british movies: but i had already seen some of this movie on netflix, and did not realize until i had purchased this movie",0,24
7561,disapointed: have not seen them all but several so far are trash and the others so-so. would not see them again or recommend them to anyone.,0,26
7571,"ballet flat: for it being a clark shoe, it had no arch support. i returned item but had to pay the shipping.",0,22
7748,"disappointed: i've seen better episodes on tv. forgettable, don't even remember what it was about and it wasn't long ago that i saw it.",0,24
7750,"stargate: continuum: i didn't recieve the dvd at all, was really looking forward to watching it :( makes me sad....... wendy johnson",0,22
7939,wrong book was deliverd: i received the wrong book in the mail. the right book needs to be sent. still need the right copy,0,24
7946,the mark of the maker: the write-up was not good. this is definitely a children's book(?) very disappointed.,0,18
8040,not good: this game is the worst nickelodeon game i have ever played. it has horrible graphics and i don't think it portrays any nickelodeon character at all.,0,28
8068,awful fit: i wasn't thrilled with the fit of this bra. it was stiff and the edges were so pronounced that even my thickest sweater couldn't hide them.,0,28
8146,"really boring: this is probably the worst ""horror"" movie i have ever seen! don't see this unless you want to be bored to death!",0,24
8177,"the only thing ""haunting"" me is the money i wasted: a decent scare or two during the first 45 minutes, but i can that from my own driving.",0,28
8289,lots of errors!!!: this book was a good refresher... but beware! the math sections are full of errors! full of errors!!!,0,21
8370,dragon fire: i just could not read it; it was too violent and ugly. perhaps it was just me but i couldn't get past the first chapter.,0,27
8459,pointless: this is one of the hardest to read most pointless books i have ever had the misfortune of trying to read.,0,22
8510,"book: this book is confusing, it jumps around to much, to many generations in the book. i could not understand this book at all.",0,24
8659,lodge book: for the price of the book i was looking for more recipes not a history of cast iron cooking. not worth the price,0,25
8794,paranoiac...: this record gives one a nightmare. this kind of music needs to stay in the nineties where it belongs.,0,20
8829,bootleg: the boxed set i received was an obvious bootleg copy. super annoyed and disappointed with my purchase. . . .,0,21
8856,fun at first but will get boring: only the first case is fun and the rest are stupid. dont waste your money on this game like i did,0,28
8938,leaks: if your drive thru mud and rain expect water to get in this bag. it is not very water resistant.,0,21
9039,bad purchase: this is not a very good toy. sometimes it catches and works but mostly not. should of listened to reviews. they were right.,0,25
9125,"incomplete and not thourough: this book is very, very superficial. only a small part of the configuration of tomcat is covered. plus, it is certainly outdated today.",0,27
9136,"waste of money: it was a waste of money. in my opinion, it was just shy of being labeled a porno film.",0,22
9165,i did not receive the item: i did not receive this item. i filed the claim but i did not hear from the seller at all.,0,26
9207,disappointed: i read this book and hoped against hope for something new in vampire lore but it's basically the same old stuff not very interestingly written.,0,26
9277,crack: i gave it to a friend. he put it in the freezer to use that evening and when he pulled it out it was cracked. :( disappointing.,0,28
9322,"not good: this book is not very helpful! it needs better examples and more info. i was disapointed, would not reccomend getting this book",0,24
9423,regret purchase: it felt very sad to me as celia just sat there. i expected more based on the reviews and i was very disappointed.,0,25
9631,missing content: this book is missing parts from chapter 2. you can read the missing contents for free on wikipedia.,0,20
9670,missing text.: just wanted to agree with the other reviewers that this version is useless. i ended up getting a free version of this book from project gutenberg.,0,28
9806,last tango in paris: poor content. had to read what was going on by reading the screen as most of it was in another language.,0,25
9932,horrible. plain horrible....: i have nothing good to say about this movie as it made no sense at all execpt that the female's british accents were cool.,0,27
10186,"worked once, then quit.: i would advise any potential purchasers to avoid this product. mine worked once, and hasn't worked since. this is not a quality product.",0,27
10203,"didn't do the trick: i wanted this to use for tea when i'm away from home and it doesn't get hot enough, not even tepid.",0,25
10312,not hot enough: this coffee warmer only keeps coffee lukewarm. i thought mr. coffee was a safe bet but it is going back,0,23
10352,disappointed: i searched and searched for a cup warmer. i was excited to find and purchase this product. it worked for about a week and then died.,0,27
10408,"ehhh =/: to be honest i didn't really like this book, it doesn't really have spells just chants and potions and stuff, i would recommend buying somethine else.",0,28
10537,warning - this movie is pan & scan: totally unacceptable. i would not buy this movie until they come out with a version with the original aspect ratio.,0,28
10877,"rash: something in this brand gives my kid a rash. the rash is not wetness related, but seems to be from something in the band of the diaper.",0,28
10922,something wrong with these diapers: the swaddlers are so much better! these are not comfortable and they leak. i would not recommend these diapers to anyone.,0,26
10983,disatisfied with pampers: i would not recommend these diapers as they have a strong scent that irritate baby's skin even if not the sensitive type.,0,25
11164,leaky diapers: when my baby did #2 they always leaked. i switched to pampers swaddlers and they are perfect. i ordered these by mistake to begin with.,0,27
11215,lots ot leaks: in general i like pampers items and quality. but the baby dry version i seem to have a lot of leaks.,0,24
11307,not a dan brown: i bought this book based on buyer's reviews. i was very disappointed. this book is filled with much violence and little mystery/content.,0,26
11308,not the same book: this was the same literature but not the book that was pictured on amazon website. very old version and took forever to get here.,0,28
11338,"olympic dvd: too little of the the major events that i was interested in, and too much of the little events",0,21
11416,split at fold: i bought this for my husband and when he went to use the tube split in right trought the middle.,0,23
11471,boring but had many details: i thought this book was very boring. i was only fascinated with the details of the cases. i think it was poorly written.,0,28
11627,"a disappointment!: the title is misleading. there is no joy, no discussion, no valuable information. it's just a list of juicing recipes.",0,22
11789,"not worth it: this case offers very little protection, and most of the phone is exposed. not worth it...",0,19
11844,"it sucked!: i hate the book. it was the worst thing i've ever seen! what ever you do, do not buy this book!!!",0,23
11848,"cheaply made!: these weights break apart very easily...the material is very cheap. they don't last and not worth the money, even on sale",0,23
11967,it sucked: this movie stinks. it was so bad that i hope i never have to watch it again for the rest of my life.,0,25
12076,annoyed: this is the most nasty catholic bashing novel i have ever read. there must be a better way to get an opinion accross.,0,24
12245,"disappointment: this trip down memory lane did not work for me. what was funny when i was a child, now pretty much not at all. fodder for goodwill.",0,28
12359,"not what i expected: i was looking for music to exercise with and this cd did not meet my needs, i am not sure who would like this.",0,28
12692,daughter of time: the book is very boring for my taste but its essential for what you may have to study for the class.,0,24
12720,"poor quality: i have only had them a week and already they are falling apart, i would not recommend them to anyone",0,22
12726,i wont do it again: i was unable to return the item because of restrictions imposed by their return policyi made a mistake by buying it,0,26
12841,"bad movie: when i received the movie, it wouldnt play in any of the dvd players that we have in the house,,i think the movie was a fake!!!!",0,28
12859,movie doesn't work: i love this movie but the disk isn't even recognized by any system i put it in. this dvd will not play.,0,25
12915,"worst. movie. ever.: this being mario i thought this would be good.i was very, very, very wrong. very wrong.",0,19
12931,???: this movie is awful. not exactly sure why nintendo ever allowed this to be released. has nothing to do with the game.,0,23
13010,"so....: i do not know why this is a classic horror. it's pretty stupid. the characters are vacuous, the plot line is clice""d, the ending was retarded.",0,27
13189,one of her worst - a cut & paste job: this is old articles from her magazine and the advice was not very good. there are better books.,0,28
13367,waste of time: it was free so out of curiosity i downloaded it only to realize it's a waste of my time to even read this nonsense!,0,27
13384,"never receieved: i am yet to receive this product. i'm sure the movie is amazing, but i'm still waiting to get it.",0,22
13735,of mice and men: i thought this book was pretty dumb. it had no point. it is a wase of money. it is vulger. i don't like it.,0,28
13741,"bad ending: i hated the ending of the book, it was awful and depressing. i thought it was going to turn out better!",0,23
13816,terrible...: this trick is terrible. not what i expected at all. the picture is completely decieving and is not a cup. i would not recommend this at all.,0,28
13849,dumbbbbbb: this is one of the worst adam sandler movies out there. this is a rental only and not worth buying.,0,21
13902,the angel slipped: this is a light weight film with a heavy weight star. the film is not worthy of the great paul muni.,0,24
13972,hate it: the cover of this cd is misleading. the songs are not the ones listed. i am very disappointed with this purchase.,0,23
14065,fantastic: every song in the album is wonderful and he has such a beautiful voice. i never tire of listening to it.,0,22
14077,clay has done better: i like clay. but i was not to thrill with this cd. rueben seem to be more impressive,0,22
14429,"clay's cd: i was disappointed in this cd. clay has a good voice, but this cd wasn't as good as i expected.",0,22
14655,special: i found this movie slow paced. the plot failed to catch and keep my attention. i am glad i did not buy this title.,0,25
14658,not worth 1 star: this book is not worth the poor trees that died or it.the chandlers are con-artists and bullies. save your money and seek the truth.,0,28
14882,syliva browne's book of dreams: never received item and was high disappointed that i never receive a response to resolve the situation.,0,22
14884,book of dreams: i was a bit disappointed in this book. the beginning started out well and then i lost interest in the subject matter.,0,25
14938,"price of < $10 is good but the shirts are thin..: though good workmanship, i was expecting a heavier material for this brand name.",0,24
14939,cheap!!!!: fabric is one of the cheapest. stiching is very bad and sizing is off. not even worth $7.50 sale price.,0,21
15108,wasted my money: the disc was a region 1 and i cudnt watch it!!!!!!!!!!!!! and i could not change my samsung player to multi region.,0,25
15309,not very good..: i could only read an hour of this poor paraphrase. ive read many paraphrases and this is one of the worst.,0,24
15526,"bizarre: i love period films, but i did not enjoy this one. the plot was thin, i thought the acting was well done.",0,23
15697,freedom hater: the author of this book hates freedom and his book is unsupported by the constitution and the bill of rights.,0,22
15970,crazy elephant cd: there is only one song on this cd worth listening to. do not buy cd. i was very disappointed in this cd.,0,25
16340,"too small: i was so disappointed, much too small, not as described. i did not believe this was to be a large.",0,22
16455,bose wave radio: the reception has not been very good. i am disappointed.may be it will help to move it around.i hope so.,0,23
16521,absolute waste: i purchased this product last week and discovered that it was garbage. the strips shape is terrible and it does not remove the hair. complete waste.....:(,0,28
16527,useless: it does not work at all! or if i used it wrong? anyway i threw away the whole box. waste of money.,0,23
16589,book not received: i have filed a claim for a refund. the book was never received and the seller did not respond to my 3 emails.,0,26
16659,don't like it: wasn't what i expected . i really don't like it. it seems boring. so far i don't want to play it,0,24
16692,slow: a little bit slow at some points but other than that pretty good. i like the part where mercy is in love with john,0,25
16739,horrible book!: this is the most boring book i have ever read! nothing really happens in the end. how could anyone like it?,0,23
16770,full slip: i love vanity fair full slips but this one was just to small for me. i will be looking for a larger size.,0,25
17025,"title is misleading: this book is about 2012 end-time predictions rather than actually ""decoding the lost science of prayer and prophecy"". just a disappointing read.",0,25
17172,waste of time and money: if you have no taste....no morals......and are tone deaf and have time to waste then this movie is for you. what a bomb.,0,28
17268,"ok: it is a decent little kit, but not worth the $ you pay for it. little disappointed, could have used more in the kit.",0,25
17296,"late arrival: i received this book in late december, months after i ordered it and long after i needed it. i contacted the seller and received no reply.",0,28
17321,didn't work for my tenia versicolor: it may work for some but not for me. i used this product for about 8 weeks with no results.,0,26
17408,"what!: it thought this movie was going to be cool,but the beggining was so boring i fell assleep! but the end was cool.",0,23
17955,not worth the effort: took toooolong to get and then the flashlight was still a dud! too bad as when ti worked it was nice!,0,25
17976,sorry: i never get the item but was my fault i order to other adress sorry but i guess is a good product,0,23
18058,i don't like this book.: i think this book should give more than one definition for the names. it should also give meanings from different languages,0,26
18130,not great: not the best workbook i have seen. it is not very interactive either. it also has a lot of references to religion.,0,24
18134,"deceptive: deceptive, this is a book with a strong religious content. it assumes the reader has a strong reliance in god to solve his/her anger issues.",0,26
18252,superlight but useless: it is impossible to tighten this product easily. you should have four hands to be able to tighten it symetricaly.,0,23
18304,missing....: i ordered this dvd for my dad's birthday. he opened it a few days later to watch and found no dvd in the case!,0,25
18444,"outdated book: don't bother with this book....the info is not up-to-date. i bought it used and cheap, and it still wasn't worth it.",0,23
18610,"not what the title says: i was looking for a source that would contain actual factual information on chemistry. this book is nothing but a long, absurd joke.",0,28
18690,toxicity: never received this item and no response when i emailed this person. i have put in for a refund.laurie,0,20
18691,non-existent: the order was never shipped out. i contacted the seller a week after the cd was supposed to ship and have yet to receive a response.,0,27
18785,absolutely horrible: this is an absolutely atrocious album. do not waste your time or money. i will use it for target practice with my .44 magnum.,0,26
18806,not that great: i was really looking forward to being able to take care of neopets away from my computer but was very disappointed!,0,24
18852,"dvd boot hill: we were disappointed in the movie, it was more like a class d film and not very interesting as a western.maybe for children??",0,26
18856,trinity is great: this movie isnt worth the time to read this review. it sucks and i'm a big trinity fan. my advice is keep searching,0,26
18946,"disappointed: i really did not care for this film at all. the visual effects were pretty good, but the acting overall was just terrible.",0,24
19007,"absolutely awful: this is easily one of the worst movies i have seen in years. a barely comprehensible mess, with no redeeming qualities.",0,23
19153,kindle book: download went great. it has been a difficult read due to the way it was written. the historical side of the book is great.,0,26
19195,book: might recommend if purchaser/reader were a history buff. found difficult to follow and keep up with. not a book i would recommend for easy reading.,0,26
19204,not that great of a learning guide: this is more like example code than what i'd expect out of a textbook. i would recommend another book instead.,0,27
19269,"this takes too long: this takes too long, you have to apply it all day and that is annoying, get the freeze spray from dr scholes",0,26
19270,does not work well: the truth is buy regular wart remover. used this for awhile and did not do anything. regular wart remover is the best.,0,26
19293,not for me: i was excited to get this product but it fell short for me. it did not work on any of the treated problems.,0,26
19328,henny youngman: he is much funnier to watch in old clips than it is to read the book. i guess it loses something in the translation.,0,26
19585,boring: this book was totally boring. even though it was 1 of the greatest books i've read.hahahahaha,0,17
19642,"hard to finish: i found this book not worth the $$, it was well written but too sweet and hard to finish. definitly not a page turner.",0,27
19694,"sorry this one is boring: figured it had potential to be funny. but is wasn't, and not very interesting. can't reccomend this movie to anyone.",0,25
19729,not like romero: i didn't care for this one very much. the zombies weren't very scary and the whole thing just kind of fell into a rut.,0,27
19755,not sturdy: not sure why people like this product...i cannot get it to not wobble.maybe it's just me and i didn't put it together well....,0,25
19820,not worth the money: this toy is not worth the money. it doesn't dance and you cant uindersrtand what it is saying. dont waste youir money!,0,26
19857,"over-rated: just did not work for me. the ease of application is great, but it ends there. you might as well not have applied it.",0,25
19904,"bones: damn, i purchased the series but can't seem to get into them. boring character and i was so prepared to love her.",0,23
19911,"death dujour: too much swearing! books do not need all that to make a good story, it is very distracting",0,20
20027,"eternity ring: i ordered the size i usually wear but it was too small and i did not rec,info.on how to exchange.",0,22
20030,not well made.....: the ring was beautiful when i received it...but one of the stones fell out in the first few days....so i can't wear it any longer....,0,28
20036,disappointed!: i wore it once and a stone has already fallen out. spent way too much money for that to be acceptable.,0,22
20201,"not for me: don't care for the story line.too, distasteful and hardly worth reading even if it was the last book i had..",0,23
20203,interesting story: this book is more of a story than it is actual science. the foundation and basis of the theory is assumed rather than explained.,0,26
20491,dude! this is the worst movie ever!: my feelings are stated in the title above. this is the worst movie ever made.........ever.,0,22
20759,"this is too expensive...: the retail price in local stores is 2.99, and you can get it in even cheaper price when it is on sale",0,26
20934,signature collection handkerchiefs are polyester: i wanted cotton handkerchiefs. these are a polyester blend and have more of a polyester than a cotton feel.,0,24
20978,have not received it as yet: it has been a month since this order was placed i have not received it as yet,0,23
21012,the order was misapplied: you sent too many glasses which was not what i wanted. thanks for your time. this is just to add words to the note.,0,28
21075,damage understated: i thought that the use was well understated. i received the book and the jacket was practically falling to pieces.,0,22
21081,"great book, bad kindle edition: i already own this book, just purchased the kindle edition and it is disappointing. it just looks like a badly scanned pdf.",0,27
21207,mere christianity: book was supposed to be gently used. came in with pieces tornof the front and back covers.,0,19
21222,not very good..: i could only read half an hour of this critically aclaimed outline. its too wordy/complicated for even the very seasoned christian.,0,24
21411,"what a bunch of bozos: this is not exactly top shelf drama. mostly very juvenile type humor, if you want to call it that. two thumbs down!",0,27
21494,"the movie doesn't play: the movie will not play. i tried it in two different dvd players and the movie won't play at all. ""peggy sue got married""",0,28
21539,meh: this book was ok. i wouldn't recommend it unless a person was really into victorian literature. the story is depressing and morbid.,0,23
21553,blah: not a great book. a required reading for a class and i could barely keep on reading it. good luck.,0,21
21568,size wrong: the size is wrong. i ordered my regular size and it's much too small. am returning for a larger. we'll see.,0,23
21779,amazing movie but a horrible dvd: this is a horrible release of this classic!! everything is horrible from the picture quality to the cover art.,0,25
21974,"it did not work for me.: the product is good, but it dd not work for me. no changes or improvements on my feet.",0,24
22151,"never recieved: ordered this charger and was told it was 1 month on backorder. then, i never received it.",0,19
22247,"i didn't like it.: the backpack broke after less than a month of use. the material was pretty flimsy for the price. overall, very disappointing.",0,25
22388,"too weird: i guess i expected humor. instead, it was a downer. i made it thru about a third of the book and gave up.",0,25
22414,"if you like this kind of crap....: if you think this book is good then ""microwave dreams"" should have won the pulitzer...",0,22
22591,waste of time: this was a huge wasteof time. wow. read reviews before i wztched andpeop.e seemed to like this movie. awful this moviegoes nowhere. booo,0,26
22597,terrible: this was the most agonizingly boring movie i've ever seen. i kept hoping it was going to get better but it was not to be. don't bother.,0,28
22615,"awful: if you actually like intelligence with your horror movie, this is not one for you. watch silence of the lambs, or the first saw.",0,25
22793,film: my husband wanted to collect a copy of this film. the acting and the story is poor. quality of the film is good.,0,24
22811,cheesy: they aren't what i expected. looks they are made kinda cheesy.expected a little better quality. would not recommend to buy.,0,21
22851,it did not fit my bin cage: product was fine but it did not fit the bin size for my undercounter installation.i would reccommend more measurements before buying.,0,28
22926,lord of the flies: hated it. if your looking for a book that describes the scenery 90 percent of the time. this book is for u.,0,26
22936,"lord of the flies: i was not a fan of this book because i couldn't get into the story line. i read it simply for school, not pleasure",0,28
22956,zzzzzz: this book is so boring! the only reason i even finished it was because i had to (summer reading for english).,0,22
22973,"yuck: all i have to say about this book is that it is disscusting, it is most not for little children",0,21
22976,"late product: this is a bad product, my package is late i ordered it almost a month ago and still haven't received it",0,23
23084,this book stunk: this was the biggest waste of ime on earth i cant believe i actually read the whole thing. complete garbage.,0,23
23159,this is the worst book i have ever read!: what a piece of crap! it was so comlicated that it got annoying! do not read this book!!!,0,27
23161,"i did not understand this book!: i hated it, it was soo confusing. i had to read it in 5th grade and no one understood it at all.",0,28
23226,disappointed: the story itself is very good i always love this author's imagination.but this kindle edition has a bunch of typos.although it's selfcorrecting but nevertheless annoying.,0,26
23267,disappointing: i was disappointed with this holster. i had a lot of trouble getting my phone in and out of it. i never ended up using it.,0,27
23392,bad bad bad bad bad: i couldn't get past page 3 of this book. it's bad. don't waste your money on this one.,0,23
23472,poor quality: the seat covers started coming loose at the seams immediately upon putting them on the seats.,0,18
23473,poor quality.: the seat covers started coming loose at the seams immediately upon putting them on the seats.,0,18
23491,"not the complete work: this edition is not the complete text. it is only volume 1 of 2 volumes, and only covers through the feeding of the 5000.",0,28
23506,awful: this is the first and the last book of harry turtledove that i wil read....awful....stupid....not at all what i expected in the least.....not good at all....very dissapointing......:(,0,28
23567,kind of tough slogging...: i thought it would be filled with interesting myths and customs of the middle ages but really the title is misleading.,0,25
23578,return to sender: boring tale - expected something better from this film but i should have read the reviews more deeply and not ordered it,0,25
23595,"no pinyin: i checked borders and this book doesn't have pinyin, which is a great weakness. i feel it should have pinyin at a minimum.",0,25
23599,dont have it: i ordered it three times and got the wrong one each times so i got tired of writing to them ron,0,24
23992,drums in the south: i was not happy with this movies. it was nott very well written. long and seemed like it took forever.,0,24
24035,"did not work for me: i have a well, and this sprinkler did not work with it. the head did not rotate properly. maybe not enough psi?",0,27
24090,"not that great: as a history buff, i was dissapointed with this. it's cheaply made and not very in depth. look for something better.",0,24
24195,mostly boring: i haven't spent much time with this product. it's very boring. the fingerspelling quiz is excellent!,0,18
24209,"wasted money: i wish i had never bought it.it doesn't work at all in the city, and barely it does on route.total waste of money.",0,25
