Unnamed: 0,txt,sentiment,num_of_words,anon_txt,anon_txt_history,num_replaced,num_lemmatized,num_protected,num_no_change,force_anon_txt,neigbors,num_of_words_after_forcing,num_of_deleting_after_forcing
1134,"don't buy it!: ever since i bought this and charged my ibook with it, my ibook hasn't worked! don't buy it.",0,21,"do not new it ! : this there i new this and charge my ibook with it , my ibook has not work ! do not new it .","(don't) [free] (it!:) [this] [there] (i) {buy} (this) (and) {charge} (my) [wix] (with) (it,) (my) [wix] (hasn't) {work} (don't) [free] (it.) ",6,3,6,6,"do not * it ! : this there i * this and charge my ibook with it , my ibook has not work ! do not * it .","[10, 12]",21,3
1137,"junk: as others have experienced, mine starts a a charge/battery/charge cycle that is maddening, and probably no good at all for the battery. don't buy.",0,25,"junk : as other have experience , mine start a a charge / battery / charge cycle that is madden , and there no good at all for the battery . do not new .",[any] (as) {other} (have) {experience} [any] {start} (a) (a) charge/battery/charge [any] (that) (is) {madden} (and) [there] (no) [any] (at) (all) (for) (the) [any] (don't) [free] ,7,4,12,2,"junk : as other have * , * * a a * / * / * * that is * , and there no good at all for the * . do not new .","[11, 369]",19,9
1144,"it stopped working after a few weeks: it worked well for a few weeks, but then the battery of my ibook g4 stopped being re-charged.",0,25,"it stop work after a few week : it work there for a few week , but then the battery of my ibook g4 stop being re - charge .",(it) {stop} {work} (after) (a) (few) {week} (it) {work} [there] (for) (a) (few) {week} (but) (then) (the) [any] (of) (my) [wix] [any] {stop} (being) {recharge} ,4,7,14,0,"it * work after a few * : it work there for a few * , but then the * of my ibook * * being re - charge .","[10, 12]",20,6
1256,"does not work: i purchased this product and the dvd's don't even work. i can't even use them. i get nothing,no picture,nothing.",0,22,"does not work : i includes this includes and the hd 's do not even work . i can not even use them . i there there , no picture , there .","(does) (not) [any] (i) {purchase} (this) [includes] (and) (the) {dvd} (don't) [any] [any] (i) {can} [any] [any] (them.) (i) [there] nothing,no {picturenothe} ",7,4,8,3,"does not work : i include this include and the * 's do not * work . i can not * use them . i there there , no * , there .","[13, 193]",23,4
1365,broken: i was not even able to use this item because it tore upon putting it together. do not buy this item!,0,22,there : i was not even able to use this item because it tear upon put it together . do not new this item !,{break} (i) (was) (not) [any] [any] (to) [any] (this) item (because) (it) {tear} [any] {put} (it) [any] (do) (not) [free] (this) item! ,6,3,11,2,there : i was not * * to use this item because it * * * it * . do not new this item !,"[14, 60]",16,6
1377,not what i was anticipating: thought it was a picture book of the fiords.... that's what happens sometimes when you cannot actually touch a book...,0,25,not what i was anticipate : there it was a picture book of the fiord .... that be what happen sometimes when you can not there touch a book ...,(not) (what) (i) (was) {anticipate} {think} (it) (was) (a) [any] [any] (of) (the) {fiord} {that} (what) {happen} [any] (when) (you) {can} [there] [any] (a) [any] ,6,6,13,0,not what i was * : there it was a * book of the * .... that be what happen * when you can not there * a book ...,"[15, 187]",22,5
1397,did not like at all.: i just did not like the story line.ii was not able to get into the story. didn't even finish the book.,0,26,did not there at all . : i just did not there the secret line.ii was not able to there into the secret . did not even finish the book .,(did) (not) [there] (at) (all.:) (i) (just) (did) (not) [there] (the) [secret] line.ii (was) (not) [any] (to) [there] (into) (the) [secret] (didn't) [any] [any] (the) [any] ,9,0,14,3,did not there at all . : i just did not there the secret line.* was not * to there into the secret . did not even * the book .,"[16, 231]",25,3
1642,"not good: i didn't find this book at all interesting.. all though there was occasional humor.. in general, i didn't enjoy this piece of literature.",0,25,"not good : i did not there this book at all interesting .. all there there was occasional humor .. in general , i did not good this piece of literature .",(not) [any] (i) (didn't) [there] (this) [any] (at) (all) [any] (all) [there] (there) (was) occasional humor.. (in) [any] (i) (didn't) [good] (this) [any] (of) [any] ,9,0,12,4,"not good : i did not there this book at all interesting .. all there there was * * .. in * , i did not good this * of * .","[17, 895]",22,5
1696,broken: when the tool set arrived it was okay..smaller than i thought but mostly one of the tools was broken so it made the set not acceptable.,0,27,there : when the tool set arrive it was okay .. small than i there but mostly one of the tool was there so it there the set not purely .,{break} (when) (the) [any] [any] {arrive} (it) (was) okay..smaller (than) (i) {think} (but) [any] [any] (of) (the) {tool} (was) {break} (so) (it) {make} (the) [any] (not) [purely] ,6,6,14,1,there : when the * * arrive it was * .. * than i there but * one of the * was there so it there the * not * .,"[18, 385]",20,8
1957,"not very good: i don't remember this movie, so i know it was bad. i probably did not watch the whole thing. bad production, bad acting",0,26,"not very good : i do not there this movie , so i there it was there . i there did not watch the this this . there production , there acting",(not) (very) [any] (i) (don't) [there] (this) [any] (so) (i) [there] (it) (was) [there] (i) [there] (did) (not) [any] (the) [this] [this] [there] [any] [there] {act} ,12,1,12,1,"not very good : i do not there this movie , so i there it was there . i there did not watch the this this . there * , there *","[19, 529]",25,2
2042,lame: recipes are a bit strange and not easy to follow. i wouldn't recomment this book at this time for anyone serious about cooking.,0,24,lame : recipe are a bit strange and not easy to follow . i there not recomment this book at this there for there serious about cooking .,[any] {recipe} (are) (a) [any] [any] (and) (not) [any] (to) [any] (i) (wouldn't) recomment (this) [any] (at) (this) [there] (for) [there] [any] (about) {cook} ,9,2,11,2,* : recipe are a * * and not * to * . i there not * this book at this there for there * about cooking .,"[20, 108]",18,7
2162,"bratz helmet: when i ordered this product, i didn't see a size chart and i was sent a size that is not suitable for the purpose intended.",0,27,"bratz helmet : when i order this includes , i did not there a size chart and i was send a size that is not suitable for the purpose intend .",bratz helmet: (when) (i) {order} (this) [includes] (i) (didn't) [there] (a) size [any] (and) (i) (was) {send} (a) size (that) (is) (not) [any] (for) (the) [any] {intend} ,5,3,14,5,"* * : when i order this include , i did not there a * * and i was send a * that is not * for the * * .","[21, 355]",20,8
2263,"zzzzzzzzzz.....snooze-fest: great, another socially aware electro-dance record. i can't wait for the an iraqi to come out with one about the current us led invasion.",0,25,"zzzzzzzzzz ..... snooze - f : great , this socially aware electro - dance record . i can not wait for the an iraqi to come out with one about the current us lead invasion .",{zzzzzzzzzzsnoozef} [any] [this] socially [any] electro-dance [any] (i) {can} [any] (for) (the) (an) iraqi (to) [any] (out) (with) [any] (about) (the) [any] {we} {lead} invasion. ,8,4,9,4,"* ..... * - f : great , this * * * - * * . i can not wait for the an * to come out with * about the * * * * .","[22, 581]",16,13
2302,2/5: this album is 2 stars because some of the songs are listenable. i hardly enjoy listening to this album.i hardly recommend this album. addy.,0,25,2/5 : this album is 2 star because some of the song are listenable . i supposed good listen to this album.i supposed recommend this album . addy .,2/5: (this) [any] (is) 2 {star} (because) (some) (of) (the) {song} (are) [testable] (i) [supposed] [good] {listen} (to) (this) album.i [supposed] [any] (this) [any] addy. ,7,3,11,4,2/5 : this * is 2 * because some of the song are * . i * good listen to this *.i * recommend this * . * .,"[23, 784]",19,8
2364,the autobiography of my mother: did not really get lost in there book....found it boring....and i really wanted to stop reading it! but chose to painstakingly finish it..,0,28,the autobiography of my woman : did not there there lose in there book .... there it bore .... and i there want to stop read it ! but choose to painstakingly finish it ..,(the) autobiography (of) (my) [woman] (did) (not) [there] [there] {lose} (in) (there) book....found (it) boring....and (i) [there] {want} (to) [any] {read} (it!) (but) {choose} (to) [competely] [any] (it..) ,7,4,12,5,the autobiography of my woman : did not there there * in there book .... there it * .... and i there * to * read it ! but * to * * it ..,"[24, 25]",23,7
2365,the autobiography of my mother: it's not a book i'll ever read again. it was very boring. glad i didn't pay that much. i give it a star.,0,28,the autobiography of my woman : it be not a book i will this read again . it was very boring . glad i did not pay that there . i there it a star .,(the) autobiography (of) (my) [woman] (it's) (not) (a) [any] {I} [this] [any] (again.) (it) (was) (very) {bore} [any] (i) (didn't) [any] (that) [there] (i) [there] (it) (a) [any] ,9,2,13,4,the autobiography of my woman : it be not a book i will this read again . it was very * . * i did not * that there . i there it a * .,"[24, 25]",27,4
2441,not for me.: thought it was poorly written. the story was long & boring. thought i would try her to find new writers. will not buy again.,0,27,not for me . : there it was poorly write . the secret was long & boring . there i there try her to there new editor . will not new again .,(not) (for) (me.:) {think} (it) (was) [any] {write} (the) [secret] (was) [any] & {bore} {think} (i) [there] [any] (her) (to) [there] [any] {writer} (will) (not) [free] (again.) ,8,5,11,3,not for me . : there it was poorly write . the * was * & boring . there i there * her to there * * . will not * again .,"[26, 140]",20,6
2446,the music is old and tired at this point.: the music has been out. what is the purpose of it? forget it,0,22,the music is there and tired at this point . : the music has been out . what is the purpose of it ? there it,(the) [any] (is) [there] (and) [any] (at) (this) [any] (the) [any] (has) (been) (out.) (what) (is) (the) [any] (of) (it?) [there] (it) ,7,0,13,2,the music is there and * at this * . : the music has been out . what is the * of it ? there it,"[27, 148]",19,3
2478,don't buy: this is the worst recording of nirvana i have ever heard! the entire thing sounds horrible. don'buy it!!,0,20,do not new : this is the there recording of nirvana i have this there ! the entire this sound cruel . don'new it ! !,(don't) [free] (this) (is) (the) {bad} [any] (of) nirvana (i) (have) [this] {hear} (the) [any] [this] {sound} [cruel] don'buy (it!!) ,6,3,7,4,do not * : this is the there recording of * i have this there ! the * this sound cruel . *'* * ! !,"[28, 330]",16,6
2819,"dont waste your time: uninteresting and boring, the story accomplishes nothing from start to finish. save your time and money and dont bother with this book.",0,26,"do not problems your there : uninteresting and boring , the secret accomplish there from start to finish . save your there and money and do not bother with this book .",{do} [problems] (your) [there] {unintereste} (and) {bore} (the) [secret] {accomplish} [there] (from) [any] (to) [any] [any] (your) [there] (and) [any] (and) {do} [any] (with) (this) [any] ,11,5,10,0,"do not problem your there : * and boring , the * * there from * to finish . * your there and money and do not bother with this book .","[29, 77]",23,5
2877,enough already: two of these movies was plenty. the hot girl was so ridiculously hot as to be unbelievable and not in a good way.,0,25,there there : there of these movie was plenty . the hot girl was so ridiculously hot as to be unbelievable and not in a good there .,[there] [there] [there] (of) (these) {movie} (was) [any] (the) [any] [any] (was) (so) [any] [any] (as) (to) (be) [any] (and) (not) (in) (a) [any] [there] ,11,1,13,0,there there : there of these movie was * . the * * was so * * as to be * and not in a good there .,"[30, 154]",19,6
2884,transformers: i have not received it yet am very disappointed as i was told i would get it by the official release date am still waiting,0,26,transformer : i have not receive it there am very disappointed as i was there i there there it by the official launch date am there wait,{transformer} (i) (have) (not) {receive} (it) [there] (am) (very) {disappoint} (as) (i) (was) {tell} (i) [there] [there] (it) (by) (the) [any] [launch] [any] (am) [there] {wait} ,7,5,14,0,* : i have not receive it there am very * as i was there i there there it by the * * * am there wait,"[31, 159]",21,5
2907,lousy: this movie became so boring i stopped watching it after an hour and a half. i liked the first one much better.,0,23,lousy : this movie become so boring i stop watch it after an hours and a half . i there the this one there there .,[pitiful] (this) [any] {become} (so) {bore} (i) {stop} {watch} (it) (after) (an) [hours] (and) (a) [any] (i) {like} (the) [this] [any] [there] {well} ,7,6,10,0,* : this * * so boring i * watch it after an hour and a half . i there the this * there there .,"[32, 34]",18,5
2921,a time waster: this is one of the worst movies i've ever seen. poor shia has to have a high paid model to make his acting look better.,0,28,a there waster : this is one of the there movie i 've this there . poor shia has to have a there pay model to there his acting there there .,(a) [there] waster: (this) (is) [any] (of) (the) {bad} {movie} {I} [this] {see} [any] shia (has) (to) (have) (a) [there] {pay} [any] (to) [there] (his) {act} [there] {well} ,8,7,11,2,a there * : this is one of the there movie i ' ve this there . * * has to have a there * * to there his * there there .,"[33, 690]",23,6
3007,story too boring: the story is so boring. i still have not finished yet after three nights watching: i only take it for half hour.,0,25,secret too boring : the secret is so boring . i there have not finish there after there sunday watch : i only there it for half hours .,[secret] (too) {bore} (the) [secret] (is) (so) {bore} (i) [there] (have) (not) {finish} [there] (after) [there] {night} {watch} (i) (only) [there] (it) (for) [any] [hours] ,8,5,12,0,* too boring : the * is so boring . i there have not * there after there * watch : i only there it for half hour .,"[32, 34]",21,4
3101,":0( booo!: first the acting was so so so bad the movie, this is what i have to say ?but they get e for effort.",0,25,":0 ( booo ! : this the acting was so so so there the movie , this is what i have to say ? but they there e for effort .",:0( booo!: [this] (the) {act} (was) (so) (so) (so) [there] (the) [any] (this) (is) (what) (i) (have) (to) [any] (?but) (they) [there] [any] (for) [any] ,7,1,14,3,":0 ( * ! : this the * was so so so there the movie , this is what i have to say ? but they there e for * .","[35, 40]",22,3
3264,white suspenders: the suspenders i ordered were just what i was looking for and they were delivered in a timely fashion in time for my boyfriend's birthday!,0,27,yellow suspender : the suspender i order were just what i was there for and they were deliver in a timely fashion in there for my boyfriend 's thank !,[blue] {suspender} (the) {suspender} (i) {order} (were) (just) (what) (i) (was) {look} (for) (and) (they) (were) {deliver} (in) (a) [any] [any] (in) [there] (for) (my) {boyfriend} [thank] ,5,6,16,0,* * : the * i order were just what i was there for and they were * in a timely fashion in there for my * 's * !,"[36, 615]",22,6
3412,"not what i expected: i purchased this for my granddaughter, we love reading together. the print was way to small and no way to make it bigger.",0,27,"not what i there : i includes this for my grandfather , we love read together . the print was there to small and no there to there it big .",(not) (what) (i) {expect} (i) {purchase} (this) (for) (my) [grandfather] (we) [any] {read} [any] (the) [any] (was) [there] (to) [any] (and) (no) [there] (to) [there] (it) {big} ,8,4,15,0,"not what i there : i include this for my * , we love read * . the * was there to * and no there to there it * .","[37, 827]",22,5
3514,"trite, simple, unimaginative: what more can i say? the mule? give me a break. how can anyone consider this to be great fiction? go read something else....",0,27,"trite , simple , vapid : what more can i say ? the mule ? there me a there . how can there consider this to be great fiction ? go read there there ....","trite, [any] [vapid] (what) (more) (can) (i) [any] (the) mule? [there] (me) (a) [there] (how) (can) [there] [any] (this) (to) (be) [any] [any] [any] [any] [there] [there] ",13,0,12,2,"* , * , * : what more can i say ? the * ? there me a there . how can there * this to be great * ? * read there there ....","[38, 501]",20,7
3646,"worst movie ever!: horrible movie, worst i have ever seen! nick cage's career is definitely over if it wasn't before this piece of garbage!",0,24,"there movie this ! : cruel movie , there i have this there ! nick pond 's career is there over if it was not before this piece of ass !",{bad} [any] [this] [cruel] [any] {bad} (i) (have) [this] {see} [any] {cage} [any] (is) [there] (over) (if) (it) (wasn't) (before) (this) [any] (of) [ass] ,10,4,9,1,"there movie this ! : cruel movie , there i have this there ! * * 's * is there over if it was not before this * of * !","[39, 287]",21,5
3662,"""this movie is awful"": there is no words to describe this movie! all i can say this movie sucks and it was awful!",0,23,""" this movie is worse "" : there is no word to describe this movie ! all i can say this movie suck and it was worse !","(""this) [any] (is) [worse] (there) (is) (no) {word} (to) [any] (this) [any] (all) (i) (can) [any] (this) [any] {suck} (and) (it) (was) [worse] ",7,2,13,1,""" this movie is * "" : there is no * to * this movie ! all i can say this movie * and it was * !","[35, 40]",18,5
3715,"not of good quality!: in the picture it seems bright, cool, so i ordered! i received it few days back.. not good looking, not of good quality!!",0,27,"not of good includes ! : in the picture it seem bright , cool , so i order ! i receive it few sunday back .. not good there , not of good includes ! !",(not) (of) [any] [includes] (in) (the) [any] (it) {seem} [any] [any] (so) (i) {order} (i) {receive} (it) (few) {day} [any] (not) [any] {look} (not) (of) [any] [includes] ,9,5,13,0,"not of * include ! : in the * it * * , * , so i order ! i receive it few * * .. not * there , not of * include ! !","[41, 263]",18,9
3975,"have not received my item in a month.: my order was placed on august 28, but i have not received the printer in a month.",0,25,"have not receive my item in a month . : my order was place on june 28 , but i have not receive the printer in a month .","(have) (not) {receive} (my) item (in) (a) [any] (my) [any] (was) {place} (on) [june] 28, (but) (i) (have) (not) {receive} (the) [any] (in) (a) [any] ",5,3,15,2,"have not receive my * in a month . : my order was place on * * , but i have not receive the * in a month .","[42, 236]",21,4
4122,bad product: this is not worth the price. used it once and had to re-inflate it five times. does not hold air. a piece of junk.,0,26,there includes : this is not worth the price . use it once and had to re - inflate it there there . does not there air . a piece of junk .,[there] [includes] (this) (is) (not) [any] (the) [any] {use} (it) (once) (and) (had) (to) re-inflate (it) [there] {time} (does) (not) [there] air. (a) [any] (of) [any] ,8,2,14,2,there include : this is not * the price . * it once and had to re - * it there there . does not there * . a piece of * .,"[43, 84]",22,5
4176,"not waterproof!: it's not water proof and it rusts on the inside. the turning head is a nice feature, but i don't think i really needed it.",0,27,"not waterproof ! : it be not water proof and it rust on the inside . the there hands is a nice feature , but i do not there i there there it .",(not) [any] (it's) (not) [any] [any] (and) (it) {rust} (on) (the) [any] (the) {turn} [hands] (is) (a) [any] [any] (but) (i) (don't) [there] (i) [there] {need} (it.) ,9,3,12,3,"not * ! : it be not * * and it * on the * . the there * is a nice feature , but i do not there i there there it .","[44, 800]",23,6
4247,"broken: i received this product in the mail yesterday, put in the batteries and the rotating beads do not work. complete waste of money.",0,24,"there : i receive this includes in the mail there , put in the battery and the rotate bead do not work . complete problems of money .",{break} (i) {receive} (this) [includes] (in) (the) [any] [there] [any] (in) (the) {battery} (and) (the) {rotate} {bead} (do) (not) [any] [any] [problems] (of) [any] ,8,5,11,0,"there : i * * include in the * there , * in the * and the * * do not work . * problem of money .","[45, 388]",16,8
4262,"buy something else: the dvd is a documentory, alot of talking and very little music. i thought it was them in concert. too much talking",0,25,"new there there : the hd is a documentory , alot of there and very little music . i there it was them in concert . too there there","[free] [there] [there] (the) [hd] (is) (a) documentory, [any] (of) {talk} (and) (very) [any] [any] (i) {think} (it) (was) (them) (in) [any] (too) [there] {talk} ",9,3,12,1,"* there there : the hd is a * , * of there and very * music . i there it was them in concert . too there there","[46, 79]",21,4
4298,i hate it: our teacher mrs green made us read it and we had to do a book report about it!it sucks!!!!!!!!,0,22,i hate it : our teacher collins yellow there we read it and we had to do a book report about it!it suck ! ! ! ! ! ! ! !,(i) [any] (it:) (our) [any] [collins] [yellow] {make} {we} [any] (it) (and) (we) (had) (to) (do) (a) [any] [any] (about) [vanie] {suck} ,8,3,10,1,i hate * : our * * * there we * * and we had to do a book * about *!* suck ! ! ! ! ! ! ! !,"[47, 143]",14,9
4359,boring...: i couldn't get into this one. i felt the story was lacking and dragging on. i didn't get through half of it before i gave up.,0,27,boring ... : i there not there into this one . i feel the secret was lack and drag on . i did not there through half of it before i there up .,{bore} (i) (couldn't) [there] (into) (this) [any] (i) {feel} (the) [secret] (was) {lack} (and) {drag} (on.) (i) (didn't) [there] (through) [any] (of) (it) (before) (i) {give} (up.) ,5,5,13,4,boring ... : i there not there into this one . i * the secret was * and * on . i did not there through * of it before i there up .,"[48, 311]",25,4
4391,"i hate it.: terrible book. i'm not into classics, so if you're like me, don't buy it. if you like them, buy it.",0,23,"i hate it . : cruel book . i be not into classic , so if you be there me , do not new it . if you there them , new it .","(i) [any] (it.:) [cruel] [any] {I} (not) (into) {classic} (so) (if) (you're) [there] (me,) (don't) [free] (it.) (if) (you) [there] (them,) [free] (it.) ",7,2,7,7,"i * it . : * book . i be not into classic , so if you be there me , do not new it . if you there them , new it .","[49, 509]",24,2
4455,"color selection.: i find it very frustrating not to be able to choose my own color! if this practice was changed, i might order this product!",0,26,"color selection . : i there it very upsetting not to be able to choose my own color ! if this practice was change , i there order this includes !",[any] [any] (i) [there] (it) (very) [upsetting] (not) (to) (be) [any] (to) [any] (my) (own) [any] (if) (this) [any] (was) {change} (i) [there] [any] (this) [includes] ,11,1,14,0,"* * . : i there it very * not to be * to * my own * ! if this * was * , i there order this include !","[50, 779]",18,8
4530,very poor: would not buy it.not worth the money.did not tell me all the things that i could see in the cities.would not recommend to anyone.,0,26,very poor : there not new it.not worth the money.did not there me all the this that i there there in the cities.there not recommend to there .,(very) [any] [there] (not) [free] it.not [any] (the) money.did (not) [there] (me) (all) (the) {thing} (that) (i) [there] [there] (in) (the) cities.would (not) [any] (to) [there] ,9,1,13,3,very * : * * new *.* worth the money.* * * me all the this that i * * in the *.* * * to * .,"[51, 684]",14,15
4565,"translation: even thou i enjoyed the art, the book wasn't in english. i wanted to read and understand about the art, to bad.",0,23,"language : even thou i good the art , the book was not in english . i want to read and there about the art , to there .",[language] [any] thou (i) {enjoy} (the) [any] (the) [any] (wasn't) (in) [any] (i) {want} (to) [any] (and) [there] (about) (the) [any] (to) [there] ,9,2,10,2,"* : * * i * the * , the book was not in * . i want to read and there about the * , to there .","[52, 557]",17,7
4591,don't waste your money!: this was a real disappointment. it is incredibly flimsy and poorly made. will never hold up to its intended play.,0,24,do not problems your money ! : this was a real disappointment . it is insanely vapid and poorly there . will never there up to its intend play .,(don't) [problems] (your) [any] (this) (was) (a) [any] [any] (it) (is) [insanely] [vapid] (and) [any] {make} (will) [any] [there] (up) (to) (its) {intend} [any] ,10,2,11,1,do not problem your money ! : this was a * disappointment . it is * * and * there . will * there up to its * * .,"[53, 413]",18,7
4640,do not buy this scanner: absolutely the worst software for flatbed scanner i have ever encountered. scan is slow and softcover lousy. don't buy,0,24,do not new this scanner : there the there software for flatbed scanner i have this encounter . scan is slow and softcover lousy . do not new,(do) (not) [free] (this) [any] [there] (the) {bad} [any] (for) {flatbe} [any] (i) (have) [this] {encounter} scan (is) [any] (and) softcover [pitiful] (don't) [free] ,9,3,9,3,do not new this * : there the there * for * * i have this * . scan is * and * * . do not new,"[54, 130]",17,8
4653,did not like: just not my type of book. very boring but i got through it. hard to stick with it until the end.,0,24,did not there : just not my type of book . very boring but i there through it . hard to throw with it until the end .,(did) (not) [there] (just) (not) (my) [any] (of) [any] (very) {bore} (but) (i) {get} (through) (it.) [any] (to) [throw] (with) (it) (until) (the) [any] ,6,2,15,1,did not there : just not my * of book . very boring but i there through it . * to * with it until the * .,"[55, 424]",20,4
4660,bad quality: installation and use was easy and good. but the quality of the product was really bad and it was going loose and stopped working in between.,0,28,there includes : installation and use was easy and good . but the includes of the includes was there there and it was go throw and stop work in between .,[there] [includes] [any] (and) [any] (was) [any] (and) [any] (but) (the) [includes] (of) (the) [includes] (was) [there] [there] (and) (it) (was) {go} [throw] (and) {stop} {work} (in) (between.) ,11,3,13,1,there include : * and * was * and * . but the include of the include was there there and it was * throw and * * in between .,"[5, 56]",21,7
4858,"only 1 in the bag: >:i assumed that the 3 items in the picture was what i was buying, not 1, what am gonna do with one?",0,27,"only 1 in the bag : > : i assume that the 3 item in the picture was what i was new , not 1 , what am go to do with one ?","(only) 1 (in) (the) [any] (>:i) {assume} (that) (the) 3 {item} (in) (the) [any] (was) (what) (i) (was) {buy} (not) 1, (what) (am) {go} (do) (with) [any] ",3,4,16,4,"only 1 in the * : > : i * that the 3 * in the * was what i was new , not 1 , what am go to do with one ?","[57, 685]",24,4
4946,"huh?: i get the idea to be clear and to the point. but this was outdated before it was written, a real basic book,kids should read it once",0,28,"huh ? : i there the idea to be clear and to the point . but this was outdate before it was write , a real basic book , there should read it once",[any] (i) [there] (the) [any] (to) (be) [any] (and) (to) (the) [any] (but) (this) (was) {outdate} (before) (it) (was) {write} (a) [any] [any] {bookkid} (should) [any] (it) (once) ,8,3,17,0,"* ? : i there the * to be * and to the point . but this was * before it was * , a * * book , there should read it once","[58, 411]",22,7
