text,annon_sents,neigbors
"good bike, bad packing: when i received the bike, the packing board was broken.the bike quality is good.","bag is very disappointing in appearance, materials and workmanship. perfect bag for my sony sr-300, it's enough to keep and","[72, 712, 554]"
great purchase: installed in seconds. great performance. excellent to eliminate phone line dependency.,"good product, works just as described. easy to install. have not had any problems thus far. great purchase: installed in seconds. great performance. excellent","[50, 73, 309]"
none: couldn't get the device to work with my network so it just sits there useless.vendor exceeded delivery expectations!,"ordered this charger and was told it was 1 month on backorder then, i never received it.","[74, 503, 143]"
"finally!: finally a head harness that is meant to hold some weight!very sturdy construction, padded and adjustable!",this halti collar worked well at controlling my great dane. he learned not to pull very quickly. we bought this product to help,"[39, 893, 75]"
"long sentences that are extremely confusing.: bad book overall, only interesting about the themes of discrimination","bad book overall, only interesting about the themes of discrimination. unsubstantiated, vague, and unscientifically presented, nothing new ","[76, 575, 101]"
4 ingredient dinner: good book to give to someone starting out in their own place..nice photos and easy instructions.,"4 ingredient dinner: good book to give to someone starting out in their own place. mountains of spices: easy to read christian book,","[77, 682, 862]"
great: one of adams best films along side the wedding singer and mr. deeds. funny movie. worth buying,one of adams best films along side the wedding singer and mr. deeds. interesting look back at what we liked,"[850, 78, 474]"
"bubblingly beautiful: just plain great. temporary residence ceases to amaze me with each release, and this is no exception.",temporary residence ceases to amaze me with each release. there is not perfect harmony throughout the cd. can be shocking during chill time.,"[79, 244, 206]"
five stars: great songs for a great artist. clay aiken is one of a kind. brilliant vocal performances.,wheeler is the best contemporary song writer and singer of our day! absolutely great!,"[80, 687, 393]"
"tedious debut: silly, syrupy lyrics throughout and, surprisingly, the vocals are completely uninspired. this can't be what aiken wanted.","surprisingly, the vocals are completely uninspired. the recording quality was not very good.","[81, 356, 783]"
horrible: this is not the triumvirat i grew up with. no original members. disco at it's worse. sucks!!!,this is not the triumvirat i grew up with. no original members. disco at it's worse. suck,"[82, 223, 973]"
great documentary!: this is by far the best documentation of the peoples temple and the jonestown tragedy!,"1491: excellent documentary of pre-columbian civilization in the americas. well written and thoroughly researched. great for budding entrepreneurs, and","[83, 283, 148]"
uihuih: uyytui gyuh k !èyui hjuyuy ihuhui jhihui jhuiytfrty rere ddszq edss ezqf gdret trdredtr drez e d,this book is very concise and useful! i found it very easy to accurately translate quickly. should be required reading in every school (if it is,"[84, 228, 351]"
"average shirts: shirts of average quality...worth about what i paid for them, $10.00.....built in collar stays...","shirts of average quality...worth about what i paid for them, $10.00. fake - not real leather!: synthetic leather looking belt","[85, 161, 717]"
horrible book: boring and bland. he even spent two pages listing sponges. don't waste your time by reading this.,horrible book: boring and bland. he even spent two pages listing sponges. don't waste your time by reading this.,"[86, 349, 117]"
solid follow up: very good movie. for children 7 and up...any younger they may not grasp the concept.,recipent was thrilled while watching this movie. i feel it is child friendly and quite entertaining.,"[87, 249, 182]"
light: this is a great light weight facial sunscreenand day time moisturizer.not heavy and gooey like many facial sunscreens.,this is a great light weight facial sunscreenand day time moisturizer. it refreshes my skin and smell wonderful!,"[88, 832, 472]"
fuzzy logic: something not being disproven[sic] doesn't make it true. example: you can't prove there isn't a tooth fairy.,"wishmaster is a fantastic album, that should grace everyone's music collection. truly a masterpiece.","[89, 297, 6]"
awesome!: perfect book!greatest tips tricks and tweakings for all growers.definitely highly recommend the cannabis grow bible!,"cannabis grow bible is perfect for all growers. not a practitioner's guide: for me, the book was verbose, repetitive","[90, 716, 213]"
"outstanding book: this is an outstanding book, documenting the quickly-decreasing generation of those who lived through wwii.","this is an outstanding book, documenting the quickly-decreasing generation of those who lived through wwii. it is","[91, 251, 496]"
another brick i have to carry to the surface: i'd rather shoot myself than lean from this book again.,the story was awful. don't spend your money on this one. borrow it from the library.,"[92, 279, 522]"
awesome rice cooker!: once of the best appliances we have ever owned. the rice comes out perfect every time!,"a hybrid between a ricer & the old ""wavy-wire"" tool your mother used. hard to believe it was used.","[93, 630, 292]"
fair deal: price: goodsize: very goodrange: fair (some noise when there i'm in another room)battery life: good,price: goodsize: very goodrange: fair (some noise when there i'm in another room) battery life: good. long standing charge,"[94, 454, 538]"
"bad computer...nice screen: bad computer................blue screen mania.""breathes heavy""...........overall.bad computer....dont do it to your self.",sony cd-r's are extremely unreliable!,"[95, 741, 964]"
"spongebob movie!!: i absolutely love spongebob,and a movie would be awesome! i can't wait!hooray for patrick! :)","i absolutely love spongebob,and a movie would be awesome!hooray for patrick!","[96, 815, 98]"
dis movie ssuucckkss!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!: i see dis movie in dis theter it blew chunks spongbob an his friends are gay,i see dis movie in dis theter it blew chunks spongbob an his friends are gay. i can't believe,"[97, 512, 562]"
spongebob is not what you're saying about him!!!!: spongebob is great he doesn't do anything bad he's optimistic.,"i absolutely love spongebob,and a movie would be awesome!hooray for patrick!","[96, 815, 98]"
great show!: arrived safe and sound and in a timely manner. nice addition to my ever-growing classic movie library!,"the product was in excellent condition, and it arrived well ahead of schedule. the best of the entire catalog! great music great show, great quality dvd","[99, 549, 868]"
"antique book: purchase was smooth, delivery prompt and well packaged. the book's condition was excellent for its age.",i recieved this book on time and in excellent condition. i'd definitely recommend this seller.,"[45, 100, 427]"
"unsubstantiated and vague book: i do not recommend this book is so unsubstantiated, vague, and unscientifically presented, nothing new.","bad book overall, only interesting about the themes of discrimination. unsubstantiated, vague, and unscientifically presented, nothing new ","[76, 575, 101]"
"sticky yucky mess: deodorant control works by gluing you pits shut. seriously, this stuff was sticky and nasty.","this had no effect on pet hair. personally, masking tape wrapped around your hand works better.","[102, 191, 298]"
batman begins!: this movie was awesome!!! but is the deluxe edition going to be available for full-screen????????????????????,batman begins! was awesome!!! but is the deluxe edition going to be available for full-screen?????????????????????????????,"[103, 813, 104]"
"great!!: the film is great, more realistic than previous films, and the bonus dvd it's full of interesting material!!",batman begins! was awesome!!! but is the deluxe edition going to be available for full-screen?????????????????????????????,"[103, 813, 104]"
pretty good video: this was a pretty effective exercise video. the routines on this video are realistic to follow.,"the routines on this video are realistic to follow. buy any album by skinny puppy if you want a message delivered with power, sans the","[43, 105, 711]"
"fun, quirky, and entertaining.: good movie fun and entertaining. lots of fun if your into the simple comedy.",good movie fun and entertaining. lots of fun if your into the simple comedy. good effects and all that but the plot overall was pretty stupid.,"[106, 749, 329]"
"so cute!!: i love this chain, it's not to big but def not small either, it's just enough...really cute","i love this chain, it's not to big but def not small either, it's just enough...really cute. ","[107, 655, 478]"
"excellent service: product arrived in expected time, and in excellent condition. will use this service again if need arises.","product arrived in expected time, and in excellent condition. will use this service again if need arises.","[108, 797, 533]"
"excellent: prompt shipment and book is as ordered. good customer service, would order from this source again.",the book i ordered was exactly as described. delivery was even faster than promised. prompt shipment and book is as ordered.,"[32, 654, 109]"
"detecto 339: excellent. assembly easy, works perfectly and is made in usa.highly recommmed detecto products.","detecto 339: excellent. assembly easy, works perfectly and is made in usa.highly recommmed detecto products.","[110, 597, 636]"
r. kelly's best album!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!: this is the best and my favorite r. kelly's album. nuff said.,this is the best and my favorite r. kelly's album! it tugs at every emotion.,"[111, 230, 229]"
great!: this is my fourth-grade son's favorite book. he loves cooking and this book is fun with great recipes.,this is my fourth-grade son's favorite book. he loves cooking and this book is fun with great recipes.,"[57, 256, 112]"
"great book!: this book is informative and well-organized, it is great finding a thyroid book dedicated to women's issues.","i am absolutely hooked on the anita blake series. i love janet dailey's ""calder"" series","[113, 494, 880]"
despicable lyrics: despicable lyrics promoting drugs and denigrating police destroy otherwise noteworthy and engaging rock music.,toxicity--system of a down music cd is a compilation of great songs performed poorly by one quartet.,"[114, 115, 118]"
toxicity--system of a down music cd: the price was right. fast delivery. my sons like. thanks. colleen,toxicity--system of a down music cd is a compilation of great songs performed poorly by one quartet.,"[114, 115, 118]"
cover misleading: the cover indicated unusual scenes on the golf course. the other monthly pictures were rather ordinary.,the director has some interesting theories in this documentary but presents them in an often simplistic way.,"[116, 969, 840]"
boring: this book was totally boring. even though it was 1 of the greatest books i've read.hahahahaha,horrible book: boring and bland. he even spent two pages listing sponges. don't waste your time by reading this.,"[86, 349, 117]"
two thumbs down: this cd is a compilation of great songs performed poorly by one quartet. buyer beware.,toxicity--system of a down music cd is a compilation of great songs performed poorly by one quartet.,"[114, 115, 118]"
"cake craft & decoration: please send me cake craft & decoration, begin by march 2006 issue.thanksdiana","cake craft & decoration, begin by march 2006 issue.thanksdiana.","[119, 453, 308]"
turkish bellydance: it is essential to have a listening sample - one cannot make an educated decision without it!,turkish bellydance is essential to have a listening sample - one cannot make an educated decision without it. shost,"[120, 662, 976]"
well received: the lanyards and whistles were purchased for a christmas gift which was well received.thank you.,the lanyards and whistles were purchased for a christmas gift which was well received. i received the item in a timely fashion,"[121, 241, 743]"
terrific!: old standards that have been great for almost fifty years. well worth having in one's collection.,the books arrived in good time and in excellent condition. the cover designs are wonderful.,"[122, 136, 415]"
heidi: my granddaughter loved this video and it held the interest of her parents and grandparents as well!,casablanca was bought as a christmas present for someone who loves old movies. she enjoyed this very much.,"[123, 542, 388]"
"great!: these diapers are great for active toddlers. no leaks, no rashes, no problems. excellent diapers!","these diapers are great for active toddlers. no leaks, no rashes, no problems. excellent diapers!","[124, 430, 239]"
heart-warming masterpiece...: heart-warming masterpiece...it takes some time to get used to...but this one grows on you....,this album so very soulful in a truly heartful kinda way. it makes your soul sing out loud. this is a terrific movie,"[125, 968, 197]"
"another hit: nothing like anything moby has done before, it is a great album still, i highly recommend it.",the things this man can do is amazing. this cd is incredible. exciting the whole way through.,"[5, 518, 126]"
"plantronics oem order: received order in a timely fashion, pleased with the product andhow easily we could obtain it.",plantronics oem order received in a timely fashion. great product; does the job. inexpensive. great shipping.,"[127, 128, 233]"
plantronics charger: great product; does the job. inexpensive. great shipping. would order from this vendor again.,plantronics oem order received in a timely fashion. great product; does the job. inexpensive. great shipping.,"[127, 128, 233]"
horrible shipping habits!: item was thrown in the box without any packaging arrived scuffed up and looking used.,"the lid on the spinner arrived cracked. the mailing package was intact, i question the sellers quality control.","[129, 623, 310]"
video purchase: like the movie so i bought it. received the dvd in great condition. was very satisfied.,like the movie so i bought it. received the dvd in great condition. was very satisfied.,"[130, 971, 363]"
absolutely perfect: this is the one film in the entire history of cinema that i can wholeheartedly endorse.,'this is the single best movie i have ever seen' 'one of the greatest masterpieces of our time',"[40, 131, 460]"
"signature collection handkerchiefs,13-pk white: the handkerchiefs are of excellent quality. i would not hesitate to buy more of them",signature collection handkerchiefs are of excellent quality. steak knives - sharp-stylish design-fits well in my hand,"[132, 998, 960]"
"great!!!: my daughter's teacher recomended this brand of reeds and are great, the help to produce good sound !!","re foster, new jersey: found to have very good clear sound. reception excellent. would purchase again. small but powerful.","[133, 709, 707]"
700+ pages of buncombe: i accidently entered the same review twice. i guess there's is no delete button.,the language of letting go: never received the books. second time this has happened.,"[134, 666, 406]"
great masterpiece: deliciously skewers liberalism. only a smug liberal couldn't understand or enjoy the fun.,great masterpiece deliciously skewers liberalism. poorly written and full of irrelevant statements. good enough to watch once.,"[135, 151, 184]"
beautiful books.: books arrived in good time and in excellent condition. the cover designs are wonderful.,the books arrived in good time and in excellent condition. the cover designs are wonderful.,"[122, 136, 415]"
mere christianity: book was supposed to be gently used. came in with pieces tornof the front and back covers.,book was supposed to be gently used. came in with pieces tornof the front and back covers.,"[137, 440, 706]"
"define your terms!: metaphors preferred over definitions, equivocations, unsupported premises, logical fallacies... and this is only in chapter one.",the book is well written but many crucial concepts are weakly communicated.,"[138, 708, 433]"
"burt most have needed the $$.: great actor, absolutely terrible movie. so bad that it is almost funny.","burt most have needed the $$.: great actor, absolutely terrible movie. acting=terrible, effects=terrible, the","[139, 203, 822]"
promised as displayed: quick delivery; beautiful glasses. all what i expected the glasses and service to be. thank you.,i highly recommend this product and this seller!,"[140, 853, 605]"
"time to quit: plodding, disappointing writing that lacks the character development and depth of the earlier books.","time to quit: plodding, disappointing writing that lacks character development. mengele: the complete story was hard to stay interested in ","[141, 516, 303]"
"great music!: mannheim steamroller's unique sound lends itself perfectly to the ""mouse."" wonderful music for all who love disney!","mannheim steamroller's unique sound lends itself perfectly to the ""mouse"" fantastic music for all who love disney!","[142, 403, 610]"
"never recieved: ordered this charger and was told it was 1 month on backorder. then, i never received it.","ordered this charger and was told it was 1 month on backorder then, i never received it.","[74, 503, 143]"
amercian thocracy: a magnificent and scholarly work. among phillips' best. not to be used for bedtime reading !,amercian thocracy: a magnificent and scholarly work. among phillips' best. american masterpiece: hands,"[144, 195, 288]"
a textbook for anti-catholic people: boettner offers a classic presentation of what the catholic church does not teach.,this book of puritan prayers is very moving and beautiful. the prayers are especially pertinant today.,"[145, 919, 432]"
"not all factual: if you come anywhere close to this one, better have your theological library nearby.",dr. eby's claim that jesus did not return in his (eby's) lifetime is false prophet alert ,"[17, 890, 146]"
boettner lies: boettner either lies or he's incredibly naive. ask him for his sources. sources which do not exist...,boettner either lies or he's incredibly naive. maher is a pompous jerk that,"[147, 436, 586]"
"great documentary: this documentary rocks. great for budding entrepreneurs, and entertaining for just about anybody.","1491: excellent documentary of pre-columbian civilization in the americas. well written and thoroughly researched. great for budding entrepreneurs, and","[83, 283, 148]"
saucepan: very satisfied with the saucepan. good quality materials. farberware is a name you can trust.,"farberware is a name you can trust. anolon makes awesome kitchenware, and this saucepan is no exception.","[149, 168, 411]"
"ick -- handles fall off: handles fall off with long use, they don't cook evenly. never buying faberware again.","handles fall off with long use, they don't cook evenly. i too have experienced the plastic cracking and breaking. would not buy another","[150, 614, 930]"
biased nonsense: biased garbage. poorly written and full of irrelevant statements. liberal slant throughout entire book.,great masterpiece deliciously skewers liberalism. poorly written and full of irrelevant statements. good enough to watch once.,"[135, 151, 184]"
the san francisco ferry boats: very good book. this book refers to my wife's family through out the book....,"sea runners will etch the coastline of british columbia in your mind. caribou hunting, by larry bar","[21, 534, 152]"
"excellent sourcebook: excellent collection of essays- some repetitive, all comprehensive, accompanied by extremely good illustrations and photographs.","i have never been disappointed with a barbaradelinsky book. enjoyable! good book, moves along well, goes over the information that you","[153, 660, 885]"
"where was the editor?: this book has an interesting plot, but the typos and inconsistencies are very distracting.","this book has an interesting plot, but the typos and inconsistencies are very distracting. i found the plot predictable; the characters","[154, 927, 852]"
"desappointing: although paid extra for expedite delivery, this school required book was delivered a month later!",school required book was delivered a month later. book arrived early and is just what i needed for my class.,"[155, 528, 178]"
dark side: know the human descendant off civilisation when left on his own. didn't like the movie though.,"know the human descendant off civilisation when left on his own. i found the movie to be a ""cult"" wanna-","[156, 967, 982]"
very interesting: i found this book facsinating and spoke so directly to my situation it seems. really wonderful!,i have always been interested in weird things and this fills my need. i found this book facsinating and spoke so directly to,"[64, 157, 828]"
if ever a book deserved an 11...: absolutely wonderful...surely one of the greatest novels to come out from america.,if ever a book deserved an 11...: absolutely wonderful...surely one of the greatest novels to come out from america.,"[158, 357, 962]"
poor quality: the seat covers started coming loose at the seams immediately upon putting them on the seats.,half of the book is ruined because the spine has come unglued...false product description!. the seat covers started coming loose at the,"[9, 160, 159]"
poor quality.: the seat covers started coming loose at the seams immediately upon putting them on the seats.,half of the book is ruined because the spine has come unglued...false product description!. the seat covers started coming loose at the,"[9, 160, 159]"
